Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=2ft R5 Perimeter, R5 Gap	Option=2ft R10 Perimeter, R10 Gap	Option=2ft R5 Exterior	Option=2ft R10 Exterior	Option=None
CR02	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	<1950	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1950s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1960s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1970s	Slab	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1980s	Slab	0.840000	0.070000	0.090000	0.000000	0.000000	0.000000
CR05	1980s	Slab	0.830000	0.110000	0.060000	0.000000	0.000000	0.000000
