Dependency=HVAC System Heat Pump	Option=0.570 Charge Frac	Option=0.709 Charge Frac	Option=0.848 Charge Frac	Option=0.988 Charge Frac	Option=1.127 Charge Frac	Option=1.266 Charge Frac	Option=1.405 Charge Frac	Option=None
"ASHP, SEER 10, 6.2 HSPF"	0	0	0	0	0	0	0	1
"ASHP, SEER 13, 7.7 HSPF"	0.03883495	0.07281553	0.31067961	0.27669903	0.24757282	0.02427184	0.02912621	0
"ASHP, SEER 15, 8.5 HSPF"	0.03883495	0.07281553	0.31067961	0.27669903	0.24757282	0.02427184	0.02912621	0
None	0	0	0	0	0	0	0	1
