Dependency=HVAC System Cooling	Dependency=HVAC System Is Heat Pump	Option=Central	Option=None	Option=Room	Option=Heat pump
None	No	0	1	0	0
"AC, SEER 8"	No	1	0	0	0
"AC, SEER 10"	No	1	0	0	0
"AC, SEER 13"	No	1	0	0	0
"AC, SEER 15"	No	1	0	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	No	0	0	1	0
"FIXME Room AC, EER 10.7, 20% Conditioned"	No	0	0	1	0
None	Yes	0	0	0	1
"AC, SEER 8"	Yes	1	0	0	0
"AC, SEER 10"	Yes	1	0	0	0
"AC, SEER 13"	Yes	1	0	0	0
"AC, SEER 15"	Yes	1	0	0	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	Yes	1	0	0	0
"FIXME Room AC, EER 10.7, 20% Conditioned"	Yes	1	0	0	0
