Vintage,Size,"8 ACH50","2 ACH50","20 ACH50","10 ACH50","6 ACH50","15 ACH50","25 ACH50","4 ACH50",
pre-1950,0-1499,0.05263,0,0.26316,0.06579,0,0.38158,0.23684,0,
pre-1950,1500-2499,0.13,0,0.08,0.21,0.15,0.35,0.01,0.07,
pre-1950,2500-3499,0.11429,0,0.28571,0.28571,0.2,0.11429,0,0,
pre-1950,3500-4499,0.42857,0,0,0.42857,0,0.07143,0,0.07143,
pre-1950,4500+,0,0,0,0,0,0,0,0,
1950s,0-1499,0,0,0.13514,0.27027,0.02703,0.48649,0.08108,0,
1950s,1500-2499,0.02326,0.02326,0.11628,0.27907,0.25581,0.02326,0.06977,0.2093,
1950s,2500-3499,0,0,0,0.2,0.26667,0.13333,0,0.4,
1950s,3500-4499,0,0,0,1.0,0,0,0,0,
1950s,4500+,0,0,0,0,0,0,0,0,
1960s,0-1499,0.15556,0,0.22222,0.4,0.04444,0.08889,0.08889,0,
1960s,1500-2499,0.33333,0,0.13333,0.33333,0,0.13333,0,0.06667,
1960s,2500-3499,0.64,0,0.16,0.16,0,0,0,0.04,
1960s,3500-4499,0,0,0,0.33333,0.66667,0,0,0,
1960s,4500+,0,0,0,0.0,0,0,1.0,0,
1970s,0-1499,0.19608,0,0.05882,0.27451,0.15686,0.2549,0.01961,0.03922,
1970s,1500-2499,0.27397,0.0274,0.05479,0.32877,0.13699,0.06849,0.0411,0.06849,
1970s,2500-3499,0,0,0,0.125,0.4375,0,0,0.4375,
1970s,3500-4499,0,0,0,0.0,1.0,0,0,0,
1970s,4500+,1.0,0,0,0.0,0,0,0,0,
1980s,0-1499,0.28571,0,0,0.14286,0.5,0.03571,0.03571,0,
1980s,1500-2499,0.23913,0,0.06522,0.1087,0.23913,0,0.1087,0.23913,
1980s,2500-3499,0,0.09091,0,0.27273,0.40909,0.18182,0,0.04545,
1980s,3500-4499,0,0,0,0.8,0.2,0,0,0,
1980s,4500+,1.0,0,0,0.0,0,0,0,0,
1990s,0-1499,0.23529,0,0,0.47059,0,0.26471,0,0.02941,
1990s,1500-2499,0.61404,0.05263,0,0.12281,0.15789,0,0,0.05263,
1990s,2500-3499,0.03704,0.03704,0,0.62963,0.14815,0,0,0.14815,
1990s,3500-4499,0.0625,0.0625,0,0.0,0.375,0.25,0,0.25,
1990s,4500+,0,0,0,0.0,1.0,0,0,0,
2000s,0-1499,0.3,0.1,0,0.15,0.15,0,0.15,0.15,
2000s,1500-2499,0.21667,0,0.01667,0.15,0.33333,0.06667,0,0.21667,
2000s,2500-3499,0,0.07895,0,0.0,0.18421,0.28947,0,0.44737,
2000s,3500-4499,0.33333,0,0,0.0,0.55556,0,0,0.11111,
2000s,4500+,0,0,0,0.0,0,0,0,1.0,
2010s,0-1499,0,0,0,0,0,0,0,0,
2010s,1500-2499,0.5,0,0,0.0,0.5,0,0,0,
2010s,2500-3499,0,0,0,0.0,0,0,1.0,0,
2010s,3500-4499,0,0,0,0.0,0,0,1.0,0,
2010s,4500+,0,0,0,0,0,0,0,0,
