Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane
Mobile Home	Electricity	CR02	0.739653	0.000000	0.191046	0.000000	0.069301
Multi-Family with 2 - 4 Units	Electricity	CR02	0.696302	0.000000	0.256737	0.000000	0.046961
Multi-Family with 5+ Units	Electricity	CR02	0.696302	0.000000	0.256737	0.000000	0.046961
Single-Family Attached	Electricity	CR02	0.687699	0.000000	0.312301	0.000000	0.000000
Single-Family Detached	Electricity	CR02	0.739653	0.000000	0.191046	0.000000	0.069301
Mobile Home	Electricity	CR03	0.775510	0.000000	0.224490	0.000000	0.000000
Multi-Family with 2 - 4 Units	Electricity	CR03	0.554057	0.000000	0.418893	0.000000	0.027050
Multi-Family with 5+ Units	Electricity	CR03	0.554057	0.000000	0.418893	0.000000	0.027050
Single-Family Attached	Electricity	CR03	1.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	Electricity	CR03	0.775510	0.000000	0.224490	0.000000	0.000000
Mobile Home	Electricity	CR04	0.880418	0.000000	0.110287	0.000000	0.009295
Multi-Family with 2 - 4 Units	Electricity	CR04	0.855783	0.000000	0.072653	0.037365	0.034200
Multi-Family with 5+ Units	Electricity	CR04	0.855783	0.000000	0.072653	0.037365	0.034200
Single-Family Attached	Electricity	CR04	0.388368	0.000000	0.611632	0.000000	0.000000
Single-Family Detached	Electricity	CR04	0.880418	0.000000	0.110287	0.000000	0.009295
Mobile Home	Electricity	CR05	0.775986	0.000000	0.160854	0.000000	0.063160
Multi-Family with 2 - 4 Units	Electricity	CR05	0.726054	0.000000	0.227529	0.000000	0.046417
Multi-Family with 5+ Units	Electricity	CR05	0.726054	0.000000	0.227529	0.000000	0.046417
Single-Family Attached	Electricity	CR05	0.451221	0.000000	0.548779	0.000000	0.000000
Single-Family Detached	Electricity	CR05	0.775986	0.000000	0.160854	0.000000	0.063160
Mobile Home	Electricity	CR06	0.903754	0.000000	0.044292	0.000000	0.051954
Multi-Family with 2 - 4 Units	Electricity	CR06	0.930794	0.000000	0.069206	0.000000	0.000000
Multi-Family with 5+ Units	Electricity	CR06	0.930794	0.000000	0.069206	0.000000	0.000000
Single-Family Attached	Electricity	CR06	0.872211	0.000000	0.127789	0.000000	0.000000
Single-Family Detached	Electricity	CR06	0.903754	0.000000	0.044292	0.000000	0.051954
Mobile Home	Electricity	CR07	0.880845	0.000000	0.079954	0.000000	0.039201
Multi-Family with 2 - 4 Units	Electricity	CR07	0.725031	0.000000	0.265560	0.000000	0.009410
Multi-Family with 5+ Units	Electricity	CR07	0.725031	0.000000	0.265560	0.000000	0.009410
Single-Family Attached	Electricity	CR07	0.865223	0.000000	0.134777	0.000000	0.000000
Single-Family Detached	Electricity	CR07	0.880845	0.000000	0.079954	0.000000	0.039201
Mobile Home	Electricity	CR08	0.867313	0.000000	0.117453	0.000000	0.015234
Multi-Family with 2 - 4 Units	Electricity	CR08	0.846497	0.000000	0.153503	0.000000	0.000000
Multi-Family with 5+ Units	Electricity	CR08	0.846497	0.000000	0.153503	0.000000	0.000000
Single-Family Attached	Electricity	CR08	0.918678	0.000000	0.064068	0.000000	0.017253
Single-Family Detached	Electricity	CR08	0.867313	0.000000	0.117453	0.000000	0.015234
Mobile Home	Electricity	CR09	0.868733	0.000000	0.101070	0.003547	0.026650
Multi-Family with 2 - 4 Units	Electricity	CR09	0.918840	0.000000	0.077812	0.003348	0.000000
Multi-Family with 5+ Units	Electricity	CR09	0.918840	0.000000	0.077812	0.003348	0.000000
Single-Family Attached	Electricity	CR09	0.861842	0.000000	0.138158	0.000000	0.000000
Single-Family Detached	Electricity	CR09	0.868733	0.000000	0.101070	0.003547	0.026650
Mobile Home	Electricity	CR10	0.710471	0.000000	0.218325	0.009003	0.062201
Multi-Family with 2 - 4 Units	Electricity	CR10	0.780762	0.000000	0.219238	0.000000	0.000000
Multi-Family with 5+ Units	Electricity	CR10	0.780762	0.000000	0.219238	0.000000	0.000000
Single-Family Attached	Electricity	CR10	0.892912	0.000000	0.107088	0.000000	0.000000
Single-Family Detached	Electricity	CR10	0.710471	0.000000	0.218325	0.009003	0.062201
Mobile Home	Electricity	CR11	0.265310	0.000000	0.676459	0.000000	0.058231
Multi-Family with 2 - 4 Units	Electricity	CR11	0.315950	0.000000	0.616258	0.000000	0.067792
Multi-Family with 5+ Units	Electricity	CR11	0.315950	0.000000	0.616258	0.000000	0.067792
Single-Family Attached	Electricity	CR11	0.620140	0.000000	0.379860	0.000000	0.000000
Single-Family Detached	Electricity	CR11	0.265310	0.000000	0.676459	0.000000	0.058231
Mobile Home	Fuel Oil	CR02	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR02	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR02	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR02	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR02	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR03	0.471359	0.000000	0.396538	0.000000	0.132103
Multi-Family with 2 - 4 Units	Fuel Oil	CR03	0.390760	0.000000	0.526425	0.000000	0.082815
Multi-Family with 5+ Units	Fuel Oil	CR03	0.390760	0.000000	0.526425	0.000000	0.082815
Single-Family Attached	Fuel Oil	CR03	0.651301	0.000000	0.299132	0.000000	0.049567
Single-Family Detached	Fuel Oil	CR03	0.471359	0.000000	0.396538	0.000000	0.132103
Mobile Home	Fuel Oil	CR04	0.838029	0.000000	0.095226	0.000000	0.066746
