Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage	Option=None	Option=Uninsulated, Vented	Option=Ceiling R-7, Vented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=Ceiling R-38, Vented	Option=Ceiling R-49, Vented	Option=Ceiling R-60, Vented
Single-Family Detached	CR02	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	CR05	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Detached	CR03	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Single-Family Detached	CR04	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	CR06	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Single-Family Detached	CR07	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	CR08	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	CR09	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.990000	0.010000	0.000000
Single-Family Detached	CR10	2040s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Single-Family Detached	CR11	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Mobile Home	CR02	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	CR05	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Mobile Home	CR03	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Mobile Home	CR04	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	CR06	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Mobile Home	CR07	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	CR08	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	CR09	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.990000	0.010000	0.000000
Mobile Home	CR10	2040s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Mobile Home	CR11	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	CR02	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	CR05	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	CR03	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Single-Family Attached	CR04	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	CR06	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000
Single-Family Attached	CR07	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	CR08	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	CR09	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.990000	0.010000	0.000000
Single-Family Attached	CR10	2040s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Single-Family Attached	CR11	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Multi-Family with 2 - 4 Units	CR02	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR05	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR03	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR04	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR06	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR07	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR08	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR09	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR10	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
