Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
1A	Mobile Home	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	1940-59	0.333333	0.000000	0.333333	0.333333
1A	Mobile Home	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	1940-59	0.000000	0.000000	0.000000	1.000000
1A	Mobile Home	None	1940-59	0.000000	0.000000	0.000000	1.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220
1A	Multi-Family with 2 - 4 Units	None	1940-59	0.157615	0.000000	0.192165	0.650220
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220
1A	Multi-Family with 5+ Units	None	1940-59	0.157615	0.000000	0.192165	0.650220
1A	Single-Family Attached	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	1940-59	0.903220	0.000000	0.011928	0.084853
1A	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	1940-59	0.098591	0.000000	0.032055	0.869354
1A	Single-Family Attached	None	1940-59	0.098591	0.000000	0.032055	0.869354
1A	Single-Family Detached	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	1940-59	0.903220	0.000000	0.011928	0.084853
1A	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	1940-59	0.098591	0.000000	0.032055	0.869354
1A	Single-Family Detached	None	1940-59	0.098591	0.000000	0.032055	0.869354
1A	Mobile Home	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	1960-79	0.784691	0.000000	0.000000	0.215309
1A	Mobile Home	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	1960-79	0.338418	0.000000	0.104256	0.557326
1A	Mobile Home	None	1960-79	0.338418	0.000000	0.104256	0.557326
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0.968885	0.000000	0.019153	0.011962
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0.579163	0.000000	0.043206	0.377631
1A	Multi-Family with 2 - 4 Units	None	1960-79	0.579163	0.000000	0.043206	0.377631
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	1960-79	0.968885	0.000000	0.019153	0.011962
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0.579163	0.000000	0.043206	0.377631
1A	Multi-Family with 5+ Units	None	1960-79	0.579163	0.000000	0.043206	0.377631
1A	Single-Family Attached	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	1960-79	0.939910	0.000000	0.028352	0.031739
1A	Single-Family Attached	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	1960-79	0.338891	0.000000	0.143602	0.517507
1A	Single-Family Attached	None	1960-79	0.338891	0.000000	0.143602	0.517507
1A	Single-Family Detached	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	1960-79	0.939910	0.000000	0.028352	0.031739
1A	Single-Family Detached	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	1960-79	0.338891	0.000000	0.143602	0.517507
1A	Single-Family Detached	None	1960-79	0.338891	0.000000	0.143602	0.517507
1A	Mobile Home	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	1980-99	0.822492	0.000000	0.000000	0.177508
1A	Mobile Home	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	1980-99	0.047955	0.000000	0.215389	0.736656
1A	Mobile Home	None	1980-99	0.047955	0.000000	0.215389	0.736656
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0.966721	0.000000	0.020607	0.012673
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0.722156	0.000000	0.184750	0.093094
1A	Multi-Family with 2 - 4 Units	None	1980-99	0.722156	0.000000	0.184750	0.093094
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	1980-99	0.966721	0.000000	0.020607	0.012673
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.722156	0.000000	0.184750	0.093094
1A	Multi-Family with 5+ Units	None	1980-99	0.722156	0.000000	0.184750	0.093094
1A	Single-Family Attached	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	1980-99	0.966617	0.000000	0.010114	0.023269
1A	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	1980-99	0.569054	0.000000	0.112543	0.318403
1A	Single-Family Attached	None	1980-99	0.569054	0.000000	0.112543	0.318403
1A	Single-Family Detached	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	1980-99	0.966617	0.000000	0.010114	0.023269
1A	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	1980-99	0.569054	0.000000	0.112543	0.318403
1A	Single-Family Detached	None	1980-99	0.569054	0.000000	0.112543	0.318403
1A	Mobile Home	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	2000-09	0.726896	0.000000	0.136552	0.136552
1A	Mobile Home	None	2000-09	0.726896	0.000000	0.136552	0.136552
