,,,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,,
Location,Location Name,Vintage,Whole Wall R-5 XPS,Whole Wall R-10 XPS,Whole Wall R-15 XPS,Uninsulated,Ceiling R-13 Fiberglass Batt, Gr-1,Ceiling R-19 Fiberglass Batt, Gr-1,Check Sum,Source
CR01,Alaska,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR02,Upper Midwest,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR03,Mountain North,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR04,New England,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR05,Great Lakes,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR06,Pacific Northwest,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR07,Mid Atlantic,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR08,Zone 4A,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR09,Southeast,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR10,Southwest,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR11,California,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR12,Hawaii,pre-1950,0,0,0,1,0,0,1,Engineering judgment
CR01,Alaska,1950s,0,0,0,1,0,0,1,Engineering judgment
CR02,Upper Midwest,1950s,0,0,0,1,0,0,1,Engineering judgment
CR03,Mountain North,1950s,0,0,0,1,0,0,1,Engineering judgment
CR04,New England,1950s,0,0,0,1,0,0,1,Engineering judgment
CR05,Great Lakes,1950s,0,0,0,1,0,0,1,Engineering judgment
CR06,Pacific Northwest,1950s,0,0,0,1,0,0,1,Engineering judgment
CR07,Mid Atlantic,1950s,0,0,0,1,0,0,1,Engineering judgment
CR08,Zone 4A,1950s,0,0,0,1,0,0,1,Engineering judgment
CR09,Southeast,1950s,0,0,0,1,0,0,1,Engineering judgment
CR10,Southwest,1950s,0,0,0,1,0,0,1,Engineering judgment
CR11,California,1950s,0,0,0,1,0,0,1,Engineering judgment
CR12,Hawaii,1950s,0,0,0,1,0,0,1,Engineering judgment
CR01,Alaska,1960s,0,0,0,1,0,0,1,Engineering judgment
CR02,Upper Midwest,1960s,0,0,0,1,0,0,1,Engineering judgment
CR03,Mountain North,1960s,0,0,0,1,0,0,1,Engineering judgment
