,,,Finished Basement,Finished Basement,Finished Basement,Finished Basement,,
CR01,Alaska,2000s,0.295674593638548,0.514857387046518,0.18298438608221,6.48363323272327E-03,1,2008 Home Innovation
CR02,Upper Midwest,2000s,0.295674593638548,0.514857387046518,0.18298438608221,6.48363323272327E-03,1,2008 Home Innovation
CR03,Mountain North,2000s,4.55659485201595E-02,0.584008235168944,0.355344824455306,1.50809918555903E-02,1,2008 Home Innovation
CR04,New England,2000s,0.153372310350884,0.564422614554878,0.221678444350295,6.05266307439437E-02,1,2008 Home Innovation
CR05,Great Lakes,2000s,0.236538902512195,0.533189262179353,9.70839536229883E-02,0.133187881685463,1,2008 Home Innovation
CR06,Pacific Northwest,2000s,3.69793949475111E-02,6.63219695480179E-02,0.870908530910716,2.57901045937548E-02,1,2008 Home Innovation
CR07,Mid Atlantic,2000s,7.50984778033252E-02,0.785255391800928,9.31332779097032E-02,4.65128524860436E-02,1,2008 Home Innovation
CR08,Zone 4A,2000s,0.230360849492247,0.508174280205446,0.174518956501797,8.69459138005096E-02,1,2008 Home Innovation
CR09,Southeast,2000s,0.092559291470166,0.207146559853262,0.254828223150543,0.445465925526029,1,2008 Home Innovation
CR10,Southwest,2000s,0.508924200345,0,0.491075799655,0,1,2008 Home Innovation
CR11,California,2000s,0,0.395781391192504,0.361701642585292,0.242516966222204,1,2008 Home Innovation
CR12,Hawaii,2000s,0,0,0,1,1,2008 Home Innovation
