,,,,,Central Air Conditioner,Central Air Conditioner,Central Air Conditioner,Central Air Conditioner,Central Air Conditioner,Room Air Conditioner,Room Air Conditioner,Room Air Conditioner,,,,,,
Location,Location Name,Vintage,Heating Fuel,No Air Conditioner,SEER 8,SEER 10,SEER 13,SEER 15,None,EER 8.5,EER 10.7,None,Check Sum,Source,,hasASHP,not has ASHP,
CR01,Alaska,pre-1950,Natural Gas,1,0,0,0,0,1,0,0,1,1,RECS, Engineering judgment,,,,
CR01,Alaska,1950s,Natural Gas,1,0,0,0,0,1,0,0,1,1,RECS, Engineering judgment,,,,
CR01,Alaska,1960s,Natural Gas,1,0,0,0,0,1,0,0,1,1,RECS, Engineering judgment,,,,
CR01,Alaska,1970s,Natural Gas,0.65703195807227,2.21811289833292E-02,0.10284665741783,6.56648831948885E-02,1.16559137668401E-02,0.797651416637112,4.68731528549474E-02,9.37463057098948E-02,0.859380541435158,1,RECS, Engineering judgment,,,,
CR01,Alaska,1980s,Natural Gas,1,0,0,0,0,1,0,0,1,1,RECS, Engineering judgment,,,,
CR01,Alaska,1990s,Natural Gas,0.735432016075017,8.51625727009527E-03,0.158538971638016,8.46105107055917E-02,1.29022443112805E-02,0.735432016075017,0,0,1,1,RECS, Engineering judgment,,,,
CR01,Alaska,2000s,Natural Gas,1,0,0,0,0,1,0,0,1,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,pre-1950,Natural Gas,0.230846993644529,3.23529482428443E-02,0.259896760315014,0.175069289737919,2.98782839493581E-02,0.502802717754864,9.06519080367785E-02,0.181303816073557,0.728044275889665,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,1950s,Natural Gas,0.186420764985306,5.55137745060577E-02,0.328234240821567,0.202020321392942,3.29923028124399E-02,0.381239360466994,6.49395318272291E-02,0.129879063654458,0.805181404518313,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,1960s,Natural Gas,0.135931646200454,6.76771749536135E-02,0.401224609961516,0.260522743762843,4.62026816948786E-02,0.224372789627149,2.94803811422318E-02,5.89607622844636E-02,0.911558856573305,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,1970s,Natural Gas,0.093466576703825,8.57117034655218E-02,0.397417201335533,0.25374042054976,0.045040458722996,0.21809021592619,4.15412130741215E-02,0.083082426148243,0.875376360777635,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,1980s,Natural Gas,0.114365723178269,0.124609628916591,0.402942868721456,0.263789701042727,4.75555583289661E-02,0.16110224299026,1.55788399373304E-02,3.11576798746608E-02,0.953263480188009,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,1990s,Natural Gas,1.90748765170688E-02,0.030542674020789,0.568583589804686,0.303446827080701,4.62725619527476E-02,5.11543471410767E-02,1.06931568746693E-02,2.13863137493385E-02,0.967920529375992,1,RECS, Engineering judgment,,,,
CR02,Upper Midwest,2000s,Natural Gas,5.54233493079497E-02,0,0.45192089429521,0.435635821600792,5.70199347960476E-02,5.54233493079499E-02,0,0,1,1,RECS, Engineering judgment,,,,
CR03,Mountain North,pre-1950,Natural Gas,0.555896047483748,8.18444810999421E-03,6.57470698740509E-02,4.42879426863502E-02,7.55842289128255E-03,0.874222116438322,0.106108689651525,0.212217379303049,0.681673931045426,1,RECS, Engineering judgment,,,,
CR03,Mountain North,1950s,Natural Gas,0.588129576290587,2.17426922842197E-02,0.128557212310415,0.079123888121255,1.29218647836745E-02,0.757654342500436,0.056508255403283,0.113016510806566,0.830475233790151,1,RECS, Engineering judgment,,,,
CR03,Mountain North,1960s,Natural Gas,0.530945967825025,3.76022203472123E-02,0.222925029049129,0.144749446517902,2.56707437760769E-02,0.56905256030968,1.27021974948853E-02,2.54043949897705E-02,0.961893407515344,1,RECS, Engineering judgment,,,,
CR03,Mountain North,1970s,Natural Gas,0.395034277011226,4.93700586811098E-02,0.228912852708734,0.146154830038471,2.59433659613696E-02,0.549618892610316,5.15282051996966E-02,0.103056410399393,0.84541538440091,1,RECS, Engineering judgment,,,,
CR03,Mountain North,1980s,Natural Gas,0.267686177536954,0.070610435756509,0.228328836164374,0.149477258705055,2.69475057862505E-02,0.524635963587812,8.56499286836193E-02,0.171299857367239,0.743050213949142,1,RECS, Engineering judgment,,,,
CR03,Mountain North,1990s,Natural Gas,0.314985845179751,2.08094935579018E-02,0.387390329383597,0.206745970866976,3.15266626362808E-02,0.353527543555245,1.28472327918311E-02,2.56944655836623E-02,0.961458301624507,1,RECS, Engineering judgment,,,,
