Dependency=Cooking Range	Option=None	Option=National Average
Gas, 80% Usage	0.000000	1.000000
Gas, 100% Usage	0.000000	1.000000
Gas, 120% Usage	0.000000	1.000000
Propane, 80% Usage	0.000000	1.000000
Propane, 100% Usage	0.000000	1.000000
Propane, 120% Usage	0.000000	1.000000
Electric, 80% Usage	0.000000	1.000000
Electric, 100% Usage	0.000000	1.000000
Electric, 120% Usage	0.000000	1.000000
None	1.000000	0.000000
