Dependency=Location	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F
AL_Birmingham.Muni.AP.722280	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
AL_Huntsville.Intl.AP-Jones.Field.723230	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
AL_Mobile-Rgnl.AP.722230	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
AL_Montgomery-Dannelly.Field.722260	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
AR_Fort.Smith.Rgnl.AP.723440	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
AR_Little.Rock-Adams.Field.723403	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
AZ_Flagstaff-Pulliam.AP.723755	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
AZ_Prescott-Love.Field.723723	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
AZ_Tucson.Intl.AP.722740	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_Arcata.AP.725945	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_Bakersfield-Meadows.Field.723840	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
CA_Fresno.Air.Terminal.723890	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
CA_Long.Beach-Daugherty.Field.722970	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_Los.Angeles.Intl.AP.722950	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_Sacramento.Exec.AP.724830	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_San.Diego-Lindbergh.Field.722900	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_San.Francisco.Intl.AP.724940	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CA_Santa.Maria.Public.AP.723940	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
CO_Alamosa.Muni.AP.724620	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0.051382	0.035502	0.101915	0.081157	0.289147	0.269718	0.097665	0.049630	0.002303	0.008183	0.013398
CO_Colorado.Springs-Peterson.Field.724660	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
CO_Eagle.County.Rgnl.AP.724675	0.051382	0.035502	0.101915	0.081157	0.289147	0.269718	0.097665	0.049630	0.002303	0.008183	0.013398
CO_Grand.Junction-Walker.Field.724760	0.051382	0.035502	0.101915	0.081157	0.289147	0.269718	0.097665	0.049630	0.002303	0.008183	0.013398
CO_Pueblo.Mem.AP.724640	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
CT_Bridgeport-Sikorsky.Mem.AP.725040	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
CT_Hartford-Bradley.Intl.AP.725080	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
DE_Wilmington-New.Castle.County.AP.724089	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
FL_Daytona.Beach.Intl.AP.722056	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_Jacksonville.Intl.AP.722060	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_Key.West.Intl.AP.722010	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_Miami.Intl.AP.722020	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_Orlando.Intl.AP.722050	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_Tallahassee.Rgnl.AP.722140	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
FL_West.Palm.Beach.Intl.AP.722030	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
GA_Athens-Ben.Epps.AP.723110	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
GA_Augusta-Bush-Field.722180	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
GA_Columbus.Metro.AP.722255	0.043210	0.014518	0.093055	0.044314	0.228858	0.233655	0.148826	0.110247	0.029717	0.032888	0.020712
GA_Macon-Middle.Georgia.Rgnl.AP.722170	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
GA_Savannah.Intl.AP.722070	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
IA_Des.Moines.Intl.AP.725460	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IA_Mason.City.Muni.AP.725485	0.051382	0.035502	0.101915	0.081157	0.289147	0.269718	0.097665	0.049630	0.002303	0.008183	0.013398
IA_Sioux.City-Sioux.Gateway.AP.725570	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IA_Waterloo.Muni.AP.725480	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
ID_Boise.Air.Terminal.726810	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
ID_Pocatello.Muni.AP.725780	0.051382	0.035502	0.101915	0.081157	0.289147	0.269718	0.097665	0.049630	0.002303	0.008183	0.013398
IL_Chicago-OHare.Intl.AP.725300	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IL_Moline-Quad.City.Intl.AP.725440	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IL_Peoria-Greater.Peoria.AP.725320	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IL_Rockford-Greater.Rockford.AP.725430	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IL_Springfield-Capital.AP.724390	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IN_Evansville.Rgnl.AP.724320	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
IN_Fort.Wayne.Intl.AP.725330	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IN_Indianapolis.Intl.AP.724380	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
IN_South.Bend-Michiana.Rgnl.AP.725350	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
KS_Dodge.City.Rgnl.AP.724510	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
KS_Goodland-Renner.Field.724650	0.030090	0.029638	0.101328	0.063981	0.269409	0.280338	0.120076	0.065841	0.008781	0.010360	0.020157
KS_Topeka-Phillip.Billard.Muni.AP.724560	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
KS_Wichita-Mid.Continent.AP.724500	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
KY_Cincinnati-Northern.Kentucky.AP.724210	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
KY_Lexington-Bluegrass.AP.724220	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
KY_Louisville-Standiford.Field.724230	0.040604	0.018055	0.088523	0.053544	0.251108	0.274302	0.150378	0.083856	0.011002	0.010753	0.017874
LA_Baton.Rouge-Ryan.AP.722317	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
LA_Lake.Charles.Rgnl.AP.722400	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
LA_New.Orleans.Intl.AP.722310	0.025544	0.005946	0.066501	0.023745	0.168836	0.240634	0.157324	0.174345	0.049247	0.068737	0.019141
