Dependency=Location	Dependency=Cooling Setpoint Has Offset	Option=Day Setup	Option=Day Setup +1h	Option=Day Setup +2h	Option=Day Setup -1h	Option=Day Setup -2h	Option=Night Setup	Option=Night Setup +1h	Option=Night Setup +2h	Option=Night Setup -1h	Option=Night Setup -2h	Option=Day and Night Setup	Option=Day and Night Setup +1h	Option=Day and Night Setup +2h	Option=Day and Night Setup -1h	Option=Day and Night Setup -2h	Option=Night Setback	Option=Night Setback +1h	Option=Night Setback +2h	Option=Night Setback -1h	Option=Night Setback -2h	Option=Day Setup and Night Setback	Option=Day Setup and Night Setback +1h	Option=Day Setup and Night Setback +2h	Option=Day Setup and Night Setback -1h	Option=Day Setup and Night Setback -2h	Option=None
AL_Birmingham.Muni.AP.722280	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
AL_Huntsville.Intl.AP-Jones.Field.723230	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
AL_Mobile-Rgnl.AP.722230	Yes	0.053677	0.053677	0.053677	0.053677	0.053677	0.029129	0.029129	0.029129	0.029129	0.029129	0.017953	0.017953	0.017953	0.017953	0.017953	0.068754	0.068754	0.068754	0.068754	0.068754	0.030486	0.030486	0.030486	0.030486	0.030486	0.000000
AL_Montgomery-Dannelly.Field.722260	Yes	0.053677	0.053677	0.053677	0.053677	0.053677	0.029129	0.029129	0.029129	0.029129	0.029129	0.017953	0.017953	0.017953	0.017953	0.017953	0.068754	0.068754	0.068754	0.068754	0.068754	0.030486	0.030486	0.030486	0.030486	0.030486	0.000000
AR_Fort.Smith.Rgnl.AP.723440	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
AR_Little.Rock-Adams.Field.723403	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
AZ_Flagstaff-Pulliam.AP.723755	Yes	0.053814	0.053814	0.053814	0.053814	0.053814	0.041250	0.041250	0.041250	0.041250	0.041250	0.022335	0.022335	0.022335	0.022335	0.022335	0.060678	0.060678	0.060678	0.060678	0.060678	0.021922	0.021922	0.021922	0.021922	0.021922	0.000000
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Yes	0.053677	0.053677	0.053677	0.053677	0.053677	0.029129	0.029129	0.029129	0.029129	0.029129	0.017953	0.017953	0.017953	0.017953	0.017953	0.068754	0.068754	0.068754	0.068754	0.068754	0.030486	0.030486	0.030486	0.030486	0.030486	0.000000
AZ_Prescott-Love.Field.723723	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
AZ_Tucson.Intl.AP.722740	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
CA_Arcata.AP.725945	Yes	0.044127	0.044127	0.044127	0.044127	0.044127	0.054983	0.054983	0.054983	0.054983	0.054983	0.021088	0.021088	0.021088	0.021088	0.021088	0.060552	0.060552	0.060552	0.060552	0.060552	0.019251	0.019251	0.019251	0.019251	0.019251	0.000000
