Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF
CR02	<1940	Electricity	Yes	Neither Shared	0.000000	0.179837	0.742669	0.077494
CR02	<1940	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Electricity	Yes	Neither Shared	0.000000	0.179837	0.742669	0.077494
CR02	1940s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Electricity	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Fuel Oil	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Natural Gas	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	None	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Other Fuel	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Propane	No	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1950s	Electricity	Yes	Neither Shared	0.000000	0.183847	0.700316	0.115837
CR02	1950s	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
CR02	1950s	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000
