Dependency=Geometry Stories	Option=None	Option=Bottom	Option=Middle	Option=Top
1	0.000000	1.000000	0.000000	0.000000
2	0.000000	0.500000	0.000000	0.500000
3	0.000000	0.333330	0.333330	0.333330
