Dependency=Census Division	Option=Midwest	Option=Northeast	Option=South	Option=West	sample_count	sample_weight
East North Central	1.000000	0.000000	0.000000	0.000000	11808.000000	18088040.000000
East South Central	0.000000	0.000000	1.000000	0.000000	4457.000000	7190285.000000
Middle Atlantic	0.000000	1.000000	0.000000	0.000000	10147.000000	15400826.000000
Mountain	0.000000	0.000000	0.000000	1.000000	5250.000000	8436460.000000
New England	0.000000	1.000000	0.000000	0.000000	3392.000000	5653431.000000
Pacific	0.000000	0.000000	0.000000	1.000000	10349.000000	17047996.000000
South Atlantic	0.000000	0.000000	1.000000	0.000000	13705.000000	23288432.000000
West North Central	1.000000	0.000000	0.000000	0.000000	5285.000000	8246451.000000
West South Central	0.000000	0.000000	1.000000	0.000000	8145.000000	13623932.000000
# Created by: sources\spatial\tsv_maker.py using unit counts from the American Community Survey 5-yr 2016; spatial data from U.S. Census 2010; climate zone data from ASHRAE 169 2006, IECC 2004, and M.C. Baechler 2015; ISO and RTO regions from EIA Form 861.
