Dependency=Geometry Building Number Units HL	Option=F6 B6 L6 R6	Option=F9 B9 L9 R9	Option=F12 B12 L12 R12	Option=F15 B15 L15 R15	Option=F18 B18 L18 R18	Option=F30 B30 L30 R30
<5	0.307273	0.207273	0.358182	0.026364	0.097273	0.003636
5 to 9 Units low	0.119512	0.065854	0.429268	0.026829	0.251220	0.107317
5 to 9 Units high	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
10 to 19 Units low	0.119512	0.065854	0.429268	0.026829	0.251220	0.107317
10 to 19 Units high	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
20 to 49 Units low	0.119512	0.065854	0.429268	0.026829	0.251220	0.107317
20 to 49 Units high	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
50 or more Units low	0.119512	0.065854	0.429268	0.026829	0.251220	0.107317
50 or more Units high	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
