Dependency=Geometry Stories	Dependency=Geometry Building Number Units MF	Dependency=Geometry Building Has Rear Units MF	Option=Left	Option=Middle	Option=Right	Option=None
1	None	TRUE	0	0	0	1
1	2	TRUE	0.5	0	0.5	0
1	3	TRUE	0	0	0	1
1	4	TRUE	0.5	0	0.5	0
1	6	TRUE	0.333333	0.333333	0.333333	0
1	8	TRUE	0.25	0.5	0.25	0
1	9	TRUE	0	0	0	1
1	12	TRUE	0.166667	0.666667	0.166667	0
1	15	TRUE	0	0	0	1
1	16	TRUE	0.125	0.75	0.125	0
1	18	TRUE	0.111111	0.777778	0.111111	0
1	20	TRUE	0.1	0.8	0.1	0
1	21	TRUE	0	0	0	1
1	24	TRUE	0.083333	0.833333	0.083333	0
1	36	TRUE	0.055556	0.888889	0.055556	0
1	42	TRUE	0.047619	0.904762	0.047619	0
1	54	TRUE	0.037037	0.925926	0.037037	0
1	78	TRUE	0.025641	0.948718	0.025641	0
1	102	TRUE	0.019608	0.960784	0.019608	0
1	160	TRUE	0.0125	0.975	0.0125	0
1	210	TRUE	0.009524	0.980952	0.009524	0
1	None	FALSE	0	0	0	1
1	2	FALSE	0.5	0	0.5	0
1	3	FALSE	0.333333	0.333333	0.333333	0
1	4	FALSE	0.25	0.5	0.25	0
1	6	FALSE	0.166667	0.666667	0.166667	0
1	8	FALSE	0.125	0.75	0.125	0
1	9	FALSE	0.111111	0.777778	0.111111	0
1	12	FALSE	0.083333	0.833333	0.083333	0
1	15	FALSE	0.066667	0.866667	0.066667	0
1	16	FALSE	0.0625	0.875	0.0625	0
1	18	FALSE	0.055556	0.888889	0.055556	0
1	20	FALSE	0.05	0.9	0.05	0
1	21	FALSE	0.047619	0.904762	0.047619	0
1	24	FALSE	0.041667	0.916667	0.041667	0
1	36	FALSE	0.027778	0.944444	0.027778	0
1	42	FALSE	0.02381	0.952381	0.02381	0
1	54	FALSE	0.018519	0.962963	0.018519	0
1	78	FALSE	0.012821	0.974359	0.012821	0
1	102	FALSE	0.009804	0.980392	0.009804	0
1	160	FALSE	0.00625	0.9875	0.00625	0
1	210	FALSE	0.004762	0.990476	0.004762	0
2	None	TRUE	0	0	0	1
2	2	TRUE	0	0	0	1
2	3	TRUE	0	0	0	1
2	4	TRUE	0.5	0	0.5	0
2	6	TRUE	0	0	0	1
2	8	TRUE	0.5	0	0.5	0
2	9	TRUE	0	0	0	1
2	12	TRUE	0.333333	0.333333	0.333333	0
2	15	TRUE	0	0	0	1
2	16	TRUE	0.25	0.5	0.25	0
2	18	TRUE	0.222222	0.555556	0.222222	0
2	20	TRUE	0.2	0.6	0.2	0
2	21	TRUE	0	0	0	1
2	24	TRUE	0.166667	0.666667	0.166667	0
2	36	TRUE	0.111111	0.777778	0.111111	0
2	42	TRUE	0.095238	0.809524	0.095238	0
2	54	TRUE	0.074074	0.851852	0.074074	0
2	78	TRUE	0.051282	0.897436	0.051282	0
2	102	TRUE	0.039216	0.921569	0.039216	0
2	160	TRUE	0.025	0.95	0.025	0
2	210	TRUE	0.019048	0.961905	0.019048	0
2	None	FALSE	0	0	0	1
2	2	FALSE	0	0	0	1
2	3	FALSE	0	0	0	1
2	4	FALSE	0.5	0	0.5	0
2	6	FALSE	0.333333	0.333333	0.333333	0
2	8	FALSE	0.25	0.5	0.25	0
2	9	FALSE	0.222222	0.555556	0.222222	0
2	12	FALSE	0.166667	0.666667	0.166667	0
2	15	FALSE	0.133333	0.733333	0.133333	0
2	16	FALSE	0.125	0.75	0.125	0
2	18	FALSE	0.111111	0.777778	0.111111	0
2	20	FALSE	0.1	0.8	0.1	0
2	21	FALSE	0.095238	0.809524	0.095238	0
2	24	FALSE	0.083333	0.833333	0.083333	0
2	36	FALSE	0.055556	0.888889	0.055556	0
2	42	FALSE	0.047619	0.904762	0.047619	0
2	54	FALSE	0.037037	0.925926	0.037037	0
2	78	FALSE	0.025641	0.948718	0.025641	0
2	102	FALSE	0.019608	0.960784	0.019608	0
2	160	FALSE	0.0125	0.975	0.0125	0
2	210	FALSE	0.009524	0.980952	0.009524	0
3	None	TRUE	0	0	0	1
3	2	TRUE	0	0	0	1
3	3	TRUE	0	0	0	1
3	4	TRUE	0	0	0	1
3	6	TRUE	0.5	0	0.5	0
3	8	TRUE	0	0	0	1
3	9	TRUE	0	0	0	1
3	12	TRUE	0.5	0	0.5	0
3	15	TRUE	0	0	0	1
3	16	TRUE	0.375	0.25	0.375	0
3	18	TRUE	0.333333	0.333333	0.333333	0
3	20	TRUE	0.3	0.4	0.3	0
3	21	TRUE	0	0	0	1
3	24	TRUE	0.25	0.5	0.25	0
3	36	TRUE	0.166667	0.666667	0.166667	0
3	42	TRUE	0.142857	0.714286	0.142857	0
3	54	TRUE	0.111111	0.777778	0.111111	0
3	78	TRUE	0.076923	0.846154	0.076923	0
3	102	TRUE	0.058824	0.882353	0.058824	0
3	160	TRUE	0.0375	0.925	0.0375	0
3	210	TRUE	0.028571	0.942857	0.028571	0
3	None	FALSE	0	0	0	1
3	2	FALSE	0	0	0	1
3	3	FALSE	0	0	0	1
3	4	FALSE	0	0	0	1
3	6	FALSE	0.5	0	0.5	0
3	8	FALSE	0.375	0.25	0.375	0
3	9	FALSE	0.333333	0.333333	0.333333	0
3	12	FALSE	0.25	0.5	0.25	0
3	15	FALSE	0.2	0.6	0.2	0
3	16	FALSE	0.1875	0.625	0.1875	0
3	18	FALSE	0.166667	0.666667	0.166667	0
3	20	FALSE	0.15	0.7	0.15	0
3	21	FALSE	0.142857	0.714286	0.142857	0
3	24	FALSE	0.125	0.75	0.125	0
3	36	FALSE	0.083333	0.833333	0.083333	0
3	42	FALSE	0.071429	0.857143	0.071429	0
3	54	FALSE	0.055556	0.888889	0.055556	0
3	78	FALSE	0.038462	0.923077	0.038462	0
3	102	FALSE	0.029412	0.941176	0.029412	0
3	160	FALSE	0.01875	0.9625	0.01875	0
3	210	FALSE	0.014286	0.971429	0.014286	0
