Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes	Count	Weight
CR02	<1940	Electricity	0.848829	0.151171	24.000000	144978.322000
CR03	<1940	Electricity	0.947963	0.052037	15.000000	78133.948120
CR04	<1940	Electricity	0.819123	0.180877	20.000000	310943.819900
CR05	<1940	Electricity	1.000000	0.000000	2.000000	20438.434600
CR06	<1940	Electricity	1.000000	0.000000	16.000000	177225.260700
CR07	<1940	Electricity	0.926649	0.073351	24.000000	405036.864900
CR08	<1940	Electricity	0.676120	0.323880	50.000000	404153.803200
CR09	<1940	Electricity	0.660914	0.339086	91.000000	835533.394000
CR10	<1940	Electricity	0.224104	0.775896	3.000000	24113.315970
CR11	<1940	Electricity	0.944767	0.055233	33.000000	240169.020700
CR02	1940s	Electricity	0.848829	0.151171	24.000000	144978.322000
CR03	1940s	Electricity	0.947963	0.052037	15.000000	78133.948120
CR04	1940s	Electricity	0.819123	0.180877	20.000000	310943.819900
CR05	1940s	Electricity	1.000000	0.000000	2.000000	20438.434600
CR06	1940s	Electricity	1.000000	0.000000	16.000000	177225.260700
CR07	1940s	Electricity	0.926649	0.073351	24.000000	405036.864900
CR08	1940s	Electricity	0.676120	0.323880	50.000000	404153.803200
CR09	1940s	Electricity	0.660914	0.339086	91.000000	835533.394000
CR10	1940s	Electricity	0.224104	0.775896	3.000000	24113.315970
CR11	1940s	Electricity	0.944767	0.055233	33.000000	240169.020700
CR02	1950s	Electricity	0.856659	0.143341	10.000000	57891.189940
CR03	1950s	Electricity	1.000000	0.000000	7.000000	38873.017460
CR04	1950s	Electricity	0.800157	0.199843	6.000000	86409.403190
CR05	1950s	Electricity	0.000000	1.000000	1.000000	35517.020550
CR06	1950s	Electricity	0.951353	0.048647	16.000000	193251.652700
CR07	1950s	Electricity	1.000000	0.000000	10.000000	124802.628000
CR08	1950s	Electricity	0.642609	0.357391	48.000000	386849.001600
CR09	1950s	Electricity	0.748703	0.251297	143.000000	1251702.028000
CR10	1950s	Electricity	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Electricity	0.932852	0.067148	45.000000	328333.678600
CR02	1960s	Electricity	0.845374	0.154626	11.000000	70869.263110
CR03	1960s	Electricity	1.000000	0.000000	4.000000	22298.245330
CR04	1960s	Electricity	0.965107	0.034893	24.000000	402875.943900
CR05	1960s	Electricity	1.000000	0.000000	2.000000	10678.597040
CR06	1960s	Electricity	0.867420	0.132580	29.000000	309276.517400
CR07	1960s	Electricity	0.933537	0.066463	16.000000	237795.445200
