Dependency=Location Region	Dependency=Vintage	Option=Masonry	Option=WoodStud	source_count	source_weight
CR02	1950s	0.240202	0.759798	129.000000	700342.062500
CR02	1960s	0.288497	0.711503	114.000000	624694.750000
CR02	1970s	0.264545	0.735455	178.000000	1035946.625000
CR02	1980s	0.260645	0.739355	138.000000	790771.000000
CR02	1990s	0.109850	0.890150	125.000000	746809.187500
CR02	2000s	0.157251	0.842749	122.000000	685967.375000
CR02	<1950	0.133834	0.866166	201.000000	1139890.625000
CR03	1950s	0.380117	0.619883	212.000000	1600860.875000
CR03	1960s	0.482684	0.517316	171.000000	1263708.625000
CR03	1970s	0.517026	0.482974	142.000000	1013635.625000
CR03	1980s	0.337571	0.662429	133.000000	876853.000000
CR03	1990s	0.237889	0.762111	77.000000	508012.281250
CR03	2000s	0.407396	0.592604	76.000000	534898.562500
CR03	<1950	0.435494	0.564506	529.000000	3865078.250000
CR04	1950s	0.356621	0.643379	128.000000	1856548.625000
CR04	1960s	0.414035	0.585965	127.000000	1901261.625000
CR04	1970s	0.421957	0.578043	143.000000	2020959.375000
CR04	1980s	0.297245	0.702755	98.000000	1554841.000000
CR04	1990s	0.222658	0.777342	101.000000	1499124.875000
CR04	2000s	0.197485	0.802515	65.000000	939201.187500
CR04	<1950	0.265283	0.734717	240.000000	3324025.000000
CR05	1950s	0.382845	0.617155	16.000000	223153.625000
CR05	1960s	0.606715	0.393285	25.000000	267889.562500
CR05	1970s	0.525251	0.474749	82.000000	839363.125000
CR05	1980s	0.402680	0.597320	77.000000	937406.250000
CR05	1990s	0.578538	0.421462	82.000000	904115.625000
CR05	2000s	0.774393	0.225607	71.000000	813720.062500
CR05	<1950	0.416592	0.583408	23.000000	301662.593750
CR07	1950s	0.423248	0.576752	128.000000	2131686.500000
CR07	1960s	0.508233	0.491767	86.000000	1454290.750000
CR07	1970s	0.365032	0.634968	102.000000	1844591.250000
CR07	1980s	0.257607	0.742393	74.000000	1277267.250000
CR07	1990s	0.220203	0.779797	75.000000	1324933.500000
CR07	2000s	0.267631	0.732369	83.000000	1441171.250000
CR07	<1950	0.497893	0.502107	189.000000	3355306.750000
CR08	1950s	0.441533	0.558467	173.000000	1479383.250000
CR08	1960s	0.595471	0.404529	200.000000	1915110.625000
CR08	1970s	0.485363	0.514637	318.000000	2666803.250000
CR08	1980s	0.349463	0.650537	313.000000	2968453.250000
CR08	1990s	0.277860	0.722140	347.000000	3138438.750000
CR08	2000s	0.372933	0.627067	383.000000	3260165.750000
CR08	<1950	0.457052	0.542948	268.000000	2458186.500000
CR09	1950s	0.488821	0.511179	278.000000	2486732.000000
CR09	1960s	0.687765	0.312235	316.000000	2808018.000000
CR09	1970s	0.632548	0.367452	558.000000	4843440.500000
CR09	1980s	0.521724	0.478276	558.000000	5075220.000000
CR09	1990s	0.467861	0.532139	554.000000	5603512.500000
CR09	2000s	0.527740	0.472260	589.000000	5583700.500000
CR09	<1950	0.399491	0.600509	216.000000	2042820.625000
CR10	1950s	0.747014	0.252986	278.000000	2167343.000000
CR10	1960s	0.808174	0.191826	267.000000	2057119.125000
CR10	1970s	0.680452	0.319548	357.000000	2822336.250000
CR10	1980s	0.707365	0.292635	261.000000	2157426.750000
CR10	1990s	0.720815	0.279185	207.000000	1680243.250000
CR10	2000s	0.853141	0.146859	162.000000	1351627.500000
CR10	<1950	0.677600	0.322400	215.000000	1686614.875000
CR11	1950s	0.189793	0.810207	31.000000	336165.468750
CR11	1960s	0.120356	0.879644	54.000000	577343.625000
CR11	1970s	0.050390	0.949610	47.000000	490867.937500
CR11	1980s	0.047698	0.952302	66.000000	667449.937500
CR11	1990s	0.030284	0.969716	63.000000	682301.625000
CR11	2000s	0.051870	0.948130	58.000000	585226.875000
CR11	<1950	0.175105	0.824895	48.000000	507105.093750
