Dependency=Vintage	Dependency=Geometry Floor Area	Dependency=ASHRAE IECC Climate Zone 2004	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50
1940s	0-499	1A	0.000000	0.000000	0.000000	0.000008	0.000054	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.146010	0.230547	0.298785
1940s	0-499	2A	0.000000	0.000000	0.000000	0.000008	0.000054	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.146010	0.230547	0.298785
1940s	0-499	2B	0.000000	0.000001	0.000064	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812
1940s	0-499	3A	0.000000	0.000000	0.000004	0.000057	0.000315	0.001041	0.002482	0.004757	0.019302	0.116038	0.178416	0.179779	0.148324	0.188096	0.161388
1940s	0-499	3B	0.000000	0.000001	0.000064	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812
1940s	0-499	3C	0.000000	0.000001	0.000030	0.000303	0.001341	0.003694	0.007573	0.012750	0.043576	0.193904	0.223930	0.180863	0.124763	0.129330	0.077941
1940s	0-499	4A	0.000000	0.000000	0.000002	0.000030	0.000180	0.000634	0.001596	0.003203	0.013823	0.092651	0.157595	0.171762	0.151009	0.205894	0.201620
1940s	0-499	4B	0.000000	0.000001	0.000050	0.000465	0.001936	0.005078	0.009987	0.016226	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924
1940s	0-499	4C	0.000000	0.000000	0.000004	0.000055	0.000304	0.001008	0.002412	0.004636	0.018884	0.114332	0.177005	0.179341	0.148628	0.189438	0.163953
1940s	0-499	5A	0.000000	0.000000	0.000017	0.000184	0.000872	0.002540	0.005455	0.009562	0.034465	0.168307	0.212633	0.184056	0.134279	0.148190	0.099441
1940s	0-499	5B	0.000000	0.000001	0.000050	0.000465	0.001936	0.005078	0.009987	0.016226	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924
1940s	0-499	6A	0.000000	0.000001	0.000047	0.000437	0.001833	0.004837	0.009569	0.015631	0.051345	0.213251	0.230200	0.176477	0.116703	0.115418	0.064251
1940s	0-499	6B	0.000000	0.000001	0.000039	0.000378	0.001621	0.004354	0.008735	0.014441	0.048181	0.205601	0.227948	0.178409	0.119979	0.120889	0.069423
1940s	0-499	7A	0.000000	0.000001	0.000047	0.000437	0.001833	0.004837	0.009569	0.015631	0.051345	0.213251	0.230200	0.176477	0.116703	0.115418	0.064251
1940s	0-499	7B	0.000000	0.000001	0.000039	0.000378	0.001621	0.004354	0.008735	0.014441	0.048181	0.205601	0.227948	0.178409	0.119979	0.120889	0.069423
1940s	1000-1499	1A	0.000000	0.000000	0.000002	0.000034	0.000200	0.000694	0.001728	0.003440	0.014687	0.096579	0.161380	0.173450	0.150778	0.202948	0.194079
1940s	1000-1499	2A	0.000000	0.000000	0.000002	0.000034	0.000200	0.000694	0.001728	0.003440	0.014687	0.096579	0.161380	0.173450	0.150778	0.202948	0.194079
1940s	1000-1499	2B	0.000000	0.000007	0.000230	0.001706	0.005867	0.013115	0.022520	0.032543	0.091015	0.285626	0.232581	0.143577	0.079716	0.065065	0.026431
1940s	1000-1499	3A	0.000000	0.000000	0.000020	0.000215	0.000996	0.002849	0.006030	0.010438	0.037018	0.175796	0.216278	0.183438	0.131644	0.142620	0.092658
1940s	1000-1499	3B	0.000000	0.000007	0.000230	0.001706	0.005867	0.013115	0.022520	0.032543	0.091015	0.285626	0.232581	0.143577	0.079716	0.065065	0.026431
1940s	1000-1499	3C	0.000000	0.000003	0.000118	0.000966	0.003618	0.008690	0.015865	0.024176	0.072478	0.256622	0.236295	0.160304	0.096048	0.085200	0.039616
1940s	1000-1499	4A	0.000000	0.000000	0.000010	0.000118	0.000596	0.001822	0.004076	0.007394	0.027883	0.147368	0.200768	0.184238	0.140924	0.164032	0.120771
1940s	1000-1499	4B	0.000000	0.000005	0.000185	0.001418	0.005011	0.011466	0.020090	0.029546	0.084572	0.276393	0.234655	0.149564	0.085203	0.071511	0.030380
1940s	1000-1499	4C	0.000000	0.000000	0.000019	0.000206	0.000961	0.002763	0.005873	0.010202	0.036339	0.173842	0.215346	0.183608	0.132332	0.144070	0.094437
1940s	1000-1499	5A	0.000000	0.000002	0.000070	0.000618	0.002468	0.006258	0.011963	0.018970	0.059913	0.232303	0.234292	0.170478	0.108086	0.102031	0.052550
