Dependency=Location	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F
AL_Birmingham.Muni.AP.722280	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
AL_Huntsville.Intl.AP-Jones.Field.723230	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
AL_Mobile-Rgnl.AP.722230	0.010590	0.000000	0.017368	0.003054	0.046371	0.125415	0.150488	0.230118	0.133430	0.204679	0.078488
AL_Montgomery-Dannelly.Field.722260	0.010590	0.000000	0.017368	0.003054	0.046371	0.125415	0.150488	0.230118	0.133430	0.204679	0.078488
AR_Fort.Smith.Rgnl.AP.723440	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
AR_Little.Rock-Adams.Field.723403	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
AZ_Flagstaff-Pulliam.AP.723755	0.015892	0.002573	0.042358	0.011085	0.102302	0.223460	0.226266	0.182194	0.086618	0.088374	0.018879
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0.010590	0.000000	0.017368	0.003054	0.046371	0.125415	0.150488	0.230118	0.133430	0.204679	0.078488
AZ_Prescott-Love.Field.723723	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
AZ_Tucson.Intl.AP.722740	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_Arcata.AP.725945	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_Bakersfield-Meadows.Field.723840	0.010590	0.000000	0.017368	0.003054	0.046371	0.125415	0.150488	0.230118	0.133430	0.204679	0.078488
CA_Fresno.Air.Terminal.723890	0.010590	0.000000	0.017368	0.003054	0.046371	0.125415	0.150488	0.230118	0.133430	0.204679	0.078488
CA_Long.Beach-Daugherty.Field.722970	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_Los.Angeles.Intl.AP.722950	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_Sacramento.Exec.AP.724830	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_San.Diego-Lindbergh.Field.722900	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
CA_San.Francisco.Intl.AP.724940	0.013724	0.004274	0.032117	0.005418	0.089473	0.211886	0.214619	0.184143	0.080276	0.123200	0.040871
