Dependency=Location	Option=Yes	Option=No
AL_Birmingham.Muni.AP.722280	0.404233	0.595767
AL_Huntsville.Intl.AP-Jones.Field.723230	0.404233	0.595767
AL_Mobile-Rgnl.AP.722230	0.450450	0.549550
AL_Montgomery-Dannelly.Field.722260	0.450450	0.549550
AR_Fort.Smith.Rgnl.AP.723440	0.404233	0.595767
AR_Little.Rock-Adams.Field.723403	0.404233	0.595767
AZ_Flagstaff-Pulliam.AP.723755	0.391654	0.608346
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0.450450	0.549550
AZ_Prescott-Love.Field.723723	0.404233	0.595767
AZ_Tucson.Intl.AP.722740	0.404233	0.595767
CA_Arcata.AP.725945	0.404233	0.595767
CA_Bakersfield-Meadows.Field.723840	0.450450	0.549550
CA_Fresno.Air.Terminal.723890	0.450450	0.549550
CA_Long.Beach-Daugherty.Field.722970	0.404233	0.595767
CA_Los.Angeles.Intl.AP.722950	0.404233	0.595767
CA_Sacramento.Exec.AP.724830	0.404233	0.595767
CA_San.Diego-Lindbergh.Field.722900	0.404233	0.595767
CA_San.Francisco.Intl.AP.724940	0.404233	0.595767
CA_Santa.Maria.Public.AP.723940	0.404233	0.595767
CO_Alamosa.Muni.AP.724620	0.376938	0.623062
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0.292406	0.707594
CO_Colorado.Springs-Peterson.Field.724660	0.376938	0.623062
CO_Eagle.County.Rgnl.AP.724675	0.292406	0.707594
CO_Grand.Junction-Walker.Field.724760	0.292406	0.707594
CO_Pueblo.Mem.AP.724640	0.376938	0.623062
CT_Bridgeport-Sikorsky.Mem.AP.725040	0.376938	0.623062
CT_Hartford-Bradley.Intl.AP.725080	0.376938	0.623062
DE_Wilmington-New.Castle.County.AP.724089	0.391654	0.608346
FL_Daytona.Beach.Intl.AP.722056	0.450450	0.549550
FL_Jacksonville.Intl.AP.722060	0.450450	0.549550
FL_Key.West.Intl.AP.722010	0.450450	0.549550
FL_Miami.Intl.AP.722020	0.450450	0.549550
FL_Orlando.Intl.AP.722050	0.450450	0.549550
FL_Tallahassee.Rgnl.AP.722140	0.450450	0.549550
FL_West.Palm.Beach.Intl.AP.722030	0.450450	0.549550
GA_Athens-Ben.Epps.AP.723110	0.404233	0.595767
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0.404233	0.595767
