Dependency=Geometry Building Type RECS	Option=None	"Option=Asphalt Shingles, Medium"
Mobile Home	1.000000	0.000000
Single-Family Detached	1.000000	0.000000
Single-Family Attached	1.000000	0.000000
Multi-Family with 2 - 4 Units	0.000000	1.000000
Multi-Family with 5+ Units	0.000000	1.000000
