Dependency=Heating Fuel	Dependency=Location Region	Option=Electric Standard	Option=Electric Premium	Option=Electric Tankless	Option=Gas Standard	Option=Gas Premium	Option=Gas Tankless	Option=Oil Standard	Option=Oil Premium	Option=FIXME Oil Indirect	Option=Propane Standard	Option=Propane Premium	Option=Propane Tankless	Option=FIXME Other Fuel
Electricity	CR01	1	0	0	0	0	0	0	0	0	0	0	0	0
Electricity	CR02	0.78	0	0	0.15	0	0	0	0	0	0.06	0	0.01	0
Electricity	CR05	0.75	0	0	0.17	0	0.01	0	0	0	0.07	0	0	0
Electricity	CR03	0.79	0	0.04	0.13	0	0.04	0	0	0	0	0	0	0
Electricity	CR04	0.91	0	0	0.08	0	0	0	0	0	0.01	0	0	0
Electricity	CR06	0.91	0	0.02	0.03	0	0	0	0	0	0.04	0	0	0
Electricity	CR07	0.88	0	0	0.05	0	0	0.02	0	0.01	0.01	0	0.03	0
Electricity	CR08	0.87	0	0.01	0.11	0	0	0	0	0	0.02	0	0	0
Electricity	CR09	0.85	0	0.01	0.1	0	0	0	0	0	0.03	0	0	0
Electricity	CR10	0.75	0	0	0.21	0	0	0	0	0	0.03	0	0	0.01
Electricity	CR11	0.29	0	0.01	0.68	0	0	0	0	0	0.02	0	0	0
Electricity	CR12	1	0	0	0	0	0	0	0	0	0	0	0	0
Fuel Oil	CR01	0	0	0	0	0	0	1	0	0	0	0	0	0
Fuel Oil	CR02	0.82	0	0	0.18	0	0	0	0	0	0	0	0	0
Fuel Oil	CR05	0	0	0	0	0	0	1	0	0	0	0	0	0
Fuel Oil	CR03	0.26	0	0	0.05	0	0.01	0.41	0	0.25	0.02	0	0	0
Fuel Oil	CR04	0.88	0	0.06	0	0	0	0.06	0	0	0	0	0	0
Fuel Oil	CR06	1	0	0	0	0	0	0	0	0	0	0	0	0
Fuel Oil	CR07	0.32	0	0	0.07	0	0	0.43	0	0.15	0.03	0	0	0
Fuel Oil	CR08	0.75	0	0	0.04	0	0	0.09	0	0	0.13	0	0	0
Fuel Oil	CR09	0.83	0	0	0.17	0	0	0	0	0	0	0	0	0
Fuel Oil	CR10	1	0	0	0	0	0	0	0	0	0	0	0	0
Fuel Oil	CR11	0	0	0	0	0	0	0	0	0.53	0.47	0	0	0
Fuel Oil	CR12	0	0	0	0	0	0	1	0	0	0	0	0	0
Natural Gas	CR01	0.06	0	0	0.9	0	0.04	0	0	0	0	0	0	0
Natural Gas	CR02	0.16	0	0	0.83	0	0.01	0	0	0	0	0	0	0
Natural Gas	CR05	0.13	0	0	0.86	0	0.01	0	0	0	0	0	0	0
Natural Gas	CR03	0.06	0	0	0.9	0	0.03	0.01	0	0	0	0	0	0
Natural Gas	CR04	0.11	0	0.01	0.88	0	0	0	0	0	0	0	0	0
Natural Gas	CR06	0.25	0	0.01	0.74	0	0	0	0	0	0	0	0	0
Natural Gas	CR07	0.05	0	0	0.93	0	0.02	0	0	0	0	0	0	0
Natural Gas	CR08	0.17	0	0	0.82	0	0.01	0	0	0	0	0	0	0
Natural Gas	CR09	0.16	0	0	0.83	0	0.01	0	0	0	0	0	0	0
Natural Gas	CR10	0.06	0	0.01	0.91	0	0.01	0	0	0	0.01	0	0	0
Natural Gas	CR11	0.02	0	0	0.94	0	0.03	0	0	0	0	0	0	0
Natural Gas	CR12	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR01	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR02	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR05	0	0	0	0	0	0	0	0	0	1	0	0	0
None	CR03	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR04	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR06	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR07	1	0	0	0	0	0	0	0	0	0	0	0	0
None	CR08	1	0	0	0	0	0	0	0	0	0	0	0	0
