Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.017082	0.025291	0.008169	0.034178	0.046125	0.014022	0.098928	0.006772	0.749435	3803.000000	75166.000000
AL, 00200	0.016066	0.011663	0.004388	0.011837	0.022244	0.004244	0.110643	0.010566	0.808349	2618.000000	69277.000000
AL, 00301	0.089961	0.018701	0.036630	0.040271	0.073437	0.026260	0.018899	0.017513	0.678329	2048.000000	50533.000000
AL, 00302	0.051685	0.030380	0.031560	0.060329	0.079796	0.028701	0.020306	0.021395	0.675848	2347.000000	44075.000000
AL, 00400	0.003926	0.029749	0.002857	0.016903	0.024275	0.002399	0.203141	0.009967	0.706783	2904.000000	45850.000000
AL, 00500	0.007587	0.019277	0.001897	0.023798	0.023556	0.003441	0.125411	0.005448	0.789585	3901.000000	45339.000000
AL, 00600	0.016350	0.011279	0.010363	0.026696	0.040043	0.009922	0.133766	0.024287	0.727294	2874.000000	58961.000000
AL, 00700	0.009152	0.019366	0.007549	0.018897	0.029801	0.002689	0.207766	0.005378	0.699403	2277.000000	40536.000000
AL, 00800	0.006431	0.016041	0.006695	0.013333	0.020028	0.001128	0.240428	0.008293	0.687622	2422.000000	53176.000000
AL, 00900	0.014695	0.018842	0.009626	0.028672	0.026138	0.008960	0.097921	0.005811	0.789335	2077.000000	39062.000000
AL, 01000	0.007946	0.025118	0.007289	0.023116	0.022651	0.005094	0.236123	0.006167	0.666496	3128.000000	62425.000000
AL, 01100	0.020111	0.019069	0.009158	0.026276	0.041996	0.008670	0.138673	0.019579	0.716468	2085.000000	45099.000000
AL, 01200	0.037649	0.007454	0.024588	0.012151	0.027476	0.013374	0.078017	0.058958	0.740334	3803.000000	76868.000000
AL, 01301	0.057807	0.023668	0.025712	0.036965	0.081147	0.026065	0.016502	0.014206	0.717930	1849.000000	39632.000000
AL, 01302	0.089299	0.025937	0.065299	0.056821	0.097595	0.064570	0.011875	0.013402	0.575202	2004.000000	43875.000000
AL, 01303	0.098238	0.006476	0.049221	0.036850	0.078430	0.048420	0.014801	0.047882	0.619682	2913.000000	68711.000000
AL, 01304	0.033629	0.009466	0.011910	0.017292	0.049982	0.009138	0.059403	0.020064	0.789115	2987.000000	67084.000000
AL, 01305	0.018817	0.020504	0.013661	0.012402	0.026016	0.009741	0.060157	0.014730	0.823972	2018.000000	42090.000000
AL, 01400	0.003491	0.031774	0.006077	0.026201	0.027884	0.001724	0.245800	0.006056	0.650994	2738.000000	47555.000000
AL, 01500	0.010819	0.017001	0.005356	0.004717	0.010233	0.006022	0.193727	0.002771	0.749354	2032.000000	37527.000000
AL, 01600	0.083293	0.035385	0.042308	0.056082	0.089279	0.047716	0.044135	0.019111	0.582692	1807.000000	41600.000000
AL, 01700	0.005687	0.027854	0.011395	0.047032	0.028061	0.012287	0.258821	0.007347	0.601515	2644.000000	48180.000000
AL, 01800	0.007074	0.037562	0.003938	0.016969	0.023592	0.005937	0.226198	0.011384	0.667346	2530.000000	51035.000000
AL, 01900	0.065507	0.050525	0.029559	0.024678	0.047203	0.015966	0.165302	0.028322	0.572939	2141.000000	59001.000000
AL, 02000	0.042306	0.015511	0.020151	0.047645	0.089228	0.028644	0.021030	0.026795	0.708689	3493.000000	77364.000000
AL, 02100	0.013948	0.008716	0.009224	0.016998	0.022201	0.000927	0.183468	0.010405	0.734112	3069.000000	66889.000000
AL, 02200	0.004211	0.013613	0.007913	0.026011	0.029242	0.003388	0.258461	0.004897	0.652264	3108.000000	51056.000000
AL, 02300	0.004523	0.023292	0.002536	0.021368	0.032972	0.003741	0.177752	0.018304	0.715512	3974.000000	47313.000000
AL, 02400	0.013127	0.038484	0.006842	0.043997	0.057950	0.005064	0.219912	0.009769	0.604856	3184.000000	55686.000000
AL, 02500	0.012770	0.027229	0.007704	0.033970	0.031569	0.007335	0.170747	0.017018	0.691657	9485.000000	75802.000000
AL, 02600	0.033862	0.009444	0.019151	0.028661	0.026927	0.021975	0.121302	0.013818	0.724859	2872.000000	76132.000000
AL, 02701	0.028492	0.048619	0.012486	0.045722	0.039754	0.032088	0.011936	0.014458	0.766444	2493.000000	40046.000000
AL, 02702	0.083152	0.013511	0.040284	0.033279	0.100245	0.036045	0.012582	0.012627	0.668276	2006.000000	44112.000000
AL, 02703	0.009779	0.005557	0.006893	0.007640	0.017505	0.009822	0.146070	0.003920	0.792814	2775.000000	69638.000000
AR, 00100	0.046367	0.016765	0.007524	0.029822	0.031384	0.009691	0.047885	0.057851	0.752712	4674.000000	90906.000000
AR, 00200	0.102404	0.052190	0.024473	0.044554	0.052226	0.020057	0.044731	0.026498	0.632868	3253.000000	84460.000000
