Dependency=Location	Dependency=Geometry Building Type RECS	Option=Pier and Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
AL_Birmingham.Muni.AP.722280	Single-Family Detached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	0.000000	0.060000	0.050000	0.310000	0.580000
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	0.000000	0.070000	0.030000	0.410000	0.500000
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	0.000000	0.070000	0.030000	0.410000	0.500000
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Prescott-Love.Field.723723	Single-Family Detached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Tucson.Intl.AP.722740	Single-Family Detached	0.000000	0.010000	0.010000	0.030000	0.950000
CA_Arcata.AP.725945	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Fresno.Air.Terminal.723890	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Sacramento.Exec.AP.724830	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	0.000000	0.090000	0.030000	0.200000	0.680000
CO_Alamosa.Muni.AP.724620	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
