Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned
CR02	<1940	Electricity	No	Only Heating Shared	0.300977	0.022413	0.180051	0.121284	0.020699	0.118192	0.236383
CR02	<1940	Fuel Oil	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Natural Gas	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	None	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Other Fuel	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Propane	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Electricity	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	Yes	Only Heating Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	No	Neither Shared	0.300977	0.022413	0.180051	0.121284	0.020699	0.118192	0.236383
CR02	<1940	Fuel Oil	No	Neither Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Natural Gas	No	Neither Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	None	No	Neither Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Other Fuel	No	Neither Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Propane	No	Neither Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	<1940	Electricity	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	Yes	Neither Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	No	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	Yes	Only Cooling Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	No	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Electricity	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Fuel Oil	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Natural Gas	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	None	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Other Fuel	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Propane	Yes	Both Shared	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1940s	Electricity	No	Only Heating Shared	0.300977	0.022413	0.180051	0.121284	0.020699	0.118192	0.236383
CR02	1940s	Fuel Oil	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	1940s	Natural Gas	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	1940s	None	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	1940s	Other Fuel	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
CR02	1940s	Propane	No	Only Heating Shared	0.230847	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304
