Dependency=HVAC System Cooling	Option=400 cfm/ton	Option=350 cfm/ton	Option=280 cfm/ton	Option=None
"AC, SEER 8"	0.34	0.33	0.33	0
"AC, SEER 10"	0.34	0.33	0.33	0
"AC, SEER 13"	0.34	0.33	0.33	0
"AC, SEER 15"	0.34	0.33	0.33	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	0	0	0	1
"FIXME Room AC, EER 10.7, 20% Conditioned"	0	0	0	1
None	0	0	0	1
