Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.05095891,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.229142549,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-49,0.05095891,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.229142549,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.05095891,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.229142549,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,0.575157,"Floor Area, Conditioned",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,3.26689176,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.19632656,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,2.66872848,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.59816328,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",2.0705652,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,2.57670336,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior foundation wall to R-10,4.601256,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior finished basement wall to R-10,5.24543184,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate exterior rim joist to R-10,2.66872848,"Rim Joist Area, Above-Grade, Exterior (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Seal vented crawlspaces,1.245790062,"Floor Area, Foundation (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
insulate finished attics and cathedral ceilings to R-30,6.37273956,Roof Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Air Source Heat Pump with SEER 15 and 9.0 HSPF,4494.288301,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 15 and 9.0 HSPF max load,2844.266396,Fixed,368.5836119,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted minisplit heat pump with SEER 24 and 13 HSPF,17289.67955,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted heat pump,17289.67955,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 29.3 and 14.0 HSPF max load,3244.598675,Fixed,422.4183071,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric baseboard heating back up,2844.266396,Fixed,368.5836119,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric boiler heating back up,2844.266396,Fixed,368.5836119,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplt heat pump with wall furnace heating back up,2844.266396,Fixed,368.5836119,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,2844.266396,Fixed,368.5836119,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted and dual fuel backup gas furnace with 60% AFUE,4494.288301,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,4494.288301,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,2579.003988,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon water heater,3552.169632,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,4403.401992,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,2579.003988,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon heat pump water heater,3552.169632,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon heat pump water heater,4403.401992,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric dryer with CEF of 2.7,1123.856778,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
