Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.049787441,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.223874904,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-49,0.049787441,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.223874904,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.049787441,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.223874904,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,0.561935,"Floor Area, Conditioned",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,3.1917908,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.1688248,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,2.6073784,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.5844124,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",2.022966,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,2.5174688,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior foundation wall to R-10,4.49548,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior finished basement wall to R-10,5.1248472,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate exterior rim joist to R-10,2.6073784,"Rim Joist Area, Above-Grade, Exterior (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Seal vented crawlspaces,1.21715121,"Floor Area, Foundation (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
insulate finished attics and cathedral ceilings to R-30,6.2262398,Roof Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Air Source Heat Pump with SEER 15 and 9.0 HSPF,4390.971329,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 15 and 9.0 HSPF max load,2778.880962,Fixed,360.1104254,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted minisplit heat pump with SEER 24 and 13 HSPF,16892.21565,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted heat pump,16892.21565,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 29.3 and 14.0 HSPF max load,3170.010199,Fixed,412.7075414,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric baseboard heating back up,2778.880962,Fixed,360.1104254,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric boiler heating back up,2778.880962,Fixed,360.1104254,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplt heat pump with wall furnace heating back up,2778.880962,Fixed,360.1104254,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,2778.880962,Fixed,360.1104254,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted and dual fuel backup gas furnace with 60% AFUE,4390.971329,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,4390.971329,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,2519.71654,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon water heater,3470.51056,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,4302.17436,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,2519.71654,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon heat pump water heater,3470.51056,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon heat pump water heater,4302.17436,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric dryer with CEF of 2.7,1098.02099,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,977.7669,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,16892.21565,Fixed,174.3909079,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,3170.010199,Fixed,412.7075414,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2209.52842,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,1681.30952,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,12.4384,c/kWh,14.5,$/month,local cost,local cost
Natural gas,1.9,$/therm,7.98,$/month,local cost,local cost
Propane,3.413,$/gal,0,$/month,state average,Resstock
Fuel oil,4.073,$/gal,0,$/month,US average,Resstock
Local multiplier,0.85,Local multiplier to use with default costs,NA,NA,NA,NA
Inflation multiplier,1.3222,Inflation multiplier to use with default costs,NA,NA,NA,NA
