Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.065016541,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.292354286,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-49,0.065016541,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.292354286,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.065016541,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.292354286,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,0.733821,"Floor Area, Conditioned",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,4.16810328,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.52634768,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,3.40492944,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.76317384,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",2.6417556,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,3.28751808,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior foundation wall to R-10,5.870568,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior finished basement wall to R-10,6.69244752,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate exterior rim joist to R-10,3.40492944,"Rim Joist Area, Above-Grade, Exterior (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Seal vented crawlspaces,1.589456286,"Floor Area, Foundation (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
insulate finished attics and cathedral ceilings to R-30,8.13073668,Roof Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Air Source Heat Pump with SEER 15 and 9.0 HSPF,5734.09197,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 15 and 9.0 HSPF max load,3628.891609,Fixed,470.2618496,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted minisplit heat pump with SEER 24 and 13 HSPF,22059.24632,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted heat pump,22059.24632,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 29.3 and 14.0 HSPF max load,4139.660378,Fixed,538.9474952,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric baseboard heating back up,3628.891609,Fixed,470.2618496,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric boiler heating back up,3628.891609,Fixed,470.2618496,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplt heat pump with wall furnace heating back up,3628.891609,Fixed,470.2618496,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,3628.891609,Fixed,470.2618496,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted and dual fuel backup gas furnace with 60% AFUE,5734.09197,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,5734.09197,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,3290.453364,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon water heater,4532.078496,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,5618.133576,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,3290.453364,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon heat pump water heater,4532.078496,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon heat pump water heater,5618.133576,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric dryer with CEF of 2.7,1433.886234,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,1276.84854,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,22059.24632,Fixed,227.7340091,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,4139.660378,Fixed,538.9474952,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2885.384172,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,2195.592432,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,39.647,c/kWh,7,$/month,State average,State average
Natural gas,1.7549,$/therm,9.75,$/month,State average,State average
Propane,3.513,$/gal,0,$/month,Local cost,Local cost
Fuel oil,4.088,$/gal,0,$/month,Local cost,Local cost
Local multiplier,1.11,Local multiplier to use with default costs,NA,NA,NA,NA
Inflation multiplier,1.3222,Inflation multiplier to use with default costs,NA,NA,NA,NA
