month,12am,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
January,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
February,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
March,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
April,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
May,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
June,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
July,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
August,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
September,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
October,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759,29.759
November,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
December,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535,49.535
