Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	23697.9430159	49	125173.24	483.631490121	60537720.5845
Fuel Oil	323.21492844	1	8559.1	323.21492844	2766428.89401
Natural Gas	458401.848969	569	1821540.66	805.627151087	1467482612.51
Wood	3964.12655611	8	28359.87	495.515819514	14052764.2244
