Year,Month,State,Sales (Megawatthours),Customer (Count),Residential Capacity MW,Residential Generation MWh,Residential Total Generation (MWh)
2018,1,HI,224849.55,435777,361.51,45190.08,270039.63
2018,2,HI,194325.73,435878,362.68,43539.39,237865.12
2018,3,HI,217464.92,436229,363.38,52596.27,270061.19
2018,4,HI,218877.52,436463,364.27,54781.39,273658.91
2018,5,HI,210248.84,436585,364.99,57852.08,268100.92
2018,6,HI,218916,436063,366.04,58653.12,277569.12
2018,7,HI,240194.85,435901,366.69,59226.94,299421.79
2018,8,HI,254770.45,436104,367.13,57399.03,312169.48
2018,9,HI,244066.94,436100,367.81,53436.94,297503.88
2018,10,HI,243415.23,436654,368.76,49638.17,293053.4
2018,11,HI,226540.95,436631,369.48,43688.12,270229.07
2018,12,HI,217027.04,436806,370.4,44037.32,261064.36
