variable,fuel,end_use,summary_end_use
BTUEL,electricity,total,drop
BTUELSPH,electricity,heating,other
BTUELCOL,electricity,cooling,cooling
BTUELWTH,electricity,water_heating,water_heating
BTUELRFG,electricity,refrigerator,refrigerator
BTUELFRZ,electricity,freezer,refrigerator
BTUELCOK,electricity,cooking,other
BTUELMICRO,electricity,plug_load,other
BTUELCW,electricity,clothes_washer,laundry
BTUELCDR,electricity,clothes_dryer,laundry
BTUELDWH,electricity,dishwasher,other
BTUELLGT,electricity,lighting,other
BTUELTVREL,electricity,plug_load,other
BTUELAHUHEAT,electricity,heating,other
BTUELAHUCOL,electricity,cooling,cooling
BTUELCFAN,electricity,ceiling_fans,cooling
BTUELDHUM,electricity,hvac_fan_pump,cooling
BTUELHUM,electricity,hvac_fan_pump,cooling
BTUELPLPMP,electricity,pool_hot_tub,other
BTUELHTBPMP,electricity,pool_hot_tub,other
BTUELHTBHEAT,electricity,pool_hot_tub,other
BTUELEVCHRG,electricity,electric_vehicle,other
BTUELNEC,electricity,plug_load,other
BTUELOTH,electricity,subset,drop
BTUNG,ng,total,drop
BTUNGSPH,ng,heating,other
BTUNGWTH,ng,water_heating,water_heating
BTUNGCOK,ng,cooking,other
BTUNGCDR,ng,clothes_dryer,laundry
BTUNGPLHEAT,ng,pool_hot_tub,other
BTUNGHTBHEAT,ng,pool_hot_tub,other
BTUNGNEC,ng,plug_load,other
BTUNGOTH,ng,subset,drop
BTULP,propane,total,drop
BTULPSPH,propane,heating,other
BTULPWTH,propane,water_heating,water_heating
BTULPCOK,propane,cooking,other
BTULPCDR,propane,clothes_dryer,laundry
BTULPNEC,propane,plug_load,other
BTULPOTH,propane,subset,drop
BTUFO,fuel_oil,total,drop
BTUFOSPH,fuel_oil,heating,other
BTUFOWTH,fuel_oil,water_heating,water_heating
BTUFONEC,fuel_oil,plug_load,other
BTUFOOTH,fuel_oil,subset,drop
BTUWD,wood,total,other
TOTALBTU,total,total,drop
