Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Single-Family Detached	2050s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
