Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.012093	0.014767	0.004535	0.032092	0.062324	0.008023	0.311133	0.013738	0.541294	0.000000	0.000000
AL, 00200	0.028693	0.044967	0.000000	0.000000	0.050321	0.011349	0.174333	0.018059	0.672278	0.000000	0.000000
AL, 00301	0.107661	0.000000	0.039625	0.008523	0.055475	0.025270	0.101231	0.033190	0.629024	0.000000	0.000000
AL, 00302	0.049741	0.000000	0.026959	0.010252	0.061132	0.088471	0.101231	0.019315	0.642899	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.008747	0.004710	0.030278	0.000000	0.713176	0.007328	0.235761	0.000000	0.000000
AL, 00500	0.016537	0.000000	0.038585	0.038585	0.055122	0.000000	0.249350	0.004706	0.597115	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.021866	0.082861	0.000000	0.513802	0.000000	0.381470	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.011460	0.024913	0.000000	0.000997	0.544095	0.000000	0.418536	0.000000	0.000000
AL, 00800	0.011302	0.000000	0.008665	0.010549	0.022416	0.000000	0.494959	0.008779	0.443329	0.000000	0.000000
AL, 00900	0.000000	0.035421	0.036528	0.000000	0.024352	0.000000	0.427883	0.000000	0.475816	0.000000	0.000000
AL, 01000	0.000000	0.017645	0.000000	0.006951	0.017823	0.006951	0.712248	0.002720	0.235662	0.000000	0.000000
AL, 01100	0.000000	0.008141	0.000000	0.000000	0.032905	0.005088	0.937597	0.001769	0.014500	0.000000	0.000000
AL, 01200	0.021499	0.010521	0.029619	0.000000	0.020585	0.041855	0.163294	0.048690	0.663937	0.000000	0.000000
AL, 01301	0.058204	0.020494	0.000000	0.019675	0.144280	0.027053	0.100299	0.000000	0.629995	0.000000	0.000000
AL, 01302	0.015191	0.000000	0.042419	0.012898	0.084552	0.114647	0.100299	0.129999	0.499996	0.000000	0.000000
AL, 01303	0.058647	0.000000	0.017730	0.024209	0.037507	0.131614	0.100299	0.039169	0.590826	0.000000	0.000000
AL, 01304	0.013844	0.000000	0.063068	0.074349	0.075887	0.042558	0.100299	0.000000	0.629995	0.000000	0.000000
AL, 01305	0.012821	0.053117	0.065480	0.012821	0.078302	0.047164	0.100299	0.002302	0.627693	0.000000	0.000000
AL, 01400	0.005784	0.000000	0.007850	0.026855	0.000000	0.000826	0.781307	0.000000	0.177377	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.089268	0.074985	0.262883	0.000000	0.572863	0.000000	0.000000
AL, 01600	0.031307	0.006458	0.033277	0.025943	0.044333	0.045756	0.206041	0.039281	0.567605	0.000000	0.000000
AL, 01700	0.006240	0.007072	0.027457	0.007072	0.008320	0.014977	0.743472	0.000000	0.185389	0.000000	0.000000
AL, 01800	0.002805	0.006545	0.000000	0.000000	0.031090	0.023376	0.681457	0.018519	0.236208	0.000000	0.000000
AL, 01900	0.050099	0.039515	0.031518	0.023050	0.034105	0.020816	0.282389	0.016753	0.501756	0.000000	0.000000
AL, 02000	0.062753	0.034967	0.013425	0.048704	0.036216	0.039962	0.168558	0.022883	0.572534	0.000000	0.000000
AL, 02100	0.008827	0.007582	0.018106	0.023538	0.032138	0.002490	0.385433	0.000000	0.521887	0.000000	0.000000
AL, 02200	0.000000	0.005706	0.000000	0.005706	0.033318	0.002577	0.753513	0.000000	0.199179	0.000000	0.000000
AL, 02300	0.000000	0.012497	0.010853	0.021377	0.028283	0.000000	0.491053	0.017314	0.418624	0.000000	0.000000
AL, 02400	0.028943	0.010169	0.023271	0.011538	0.080961	0.004107	0.323017	0.003730	0.514264	0.000000	0.000000
AL, 02500	0.012090	0.003975	0.042398	0.027161	0.015568	0.013581	0.380381	0.008963	0.495882	0.000000	0.000000
AL, 02600	0.022707	0.001542	0.031818	0.011634	0.025090	0.020324	0.222818	0.016270	0.647798	0.000000	0.000000
AL, 02701	0.045634	0.045634	0.037414	0.002834	0.015306	0.018424	0.288726	0.262266	0.283763	0.000000	0.000000
AL, 02702	0.046619	0.006308	0.050312	0.005385	0.041696	0.014924	0.288726	0.000000	0.546029	0.000000	0.000000
AL, 02703	0.029857	0.000000	0.000000	0.018275	0.044014	0.073099	0.288726	0.000000	0.546029	0.000000	0.000000
AR, 00100	0.038975	0.016989	0.027582	0.008395	0.054365	0.009794	0.083855	0.058268	0.701777	0.000000	0.000000
AR, 00200	0.078827	0.011102	0.065504	0.030865	0.029754	0.085711	0.087684	0.016593	0.593959	0.000000	0.000000
