Foundation Type,Vintage,"7.5% Leakage, Uninsulated","15% Leakage, R-8","15% Leakage, R-6","7.5% Leakage, R-6","20% Leakage, R-4","10% Leakage, Uninsulated","20% Leakage, R-8","15% Leakage, R-4","30% Leakage, R-4","30% Leakage, R-8","30% Leakage, R-6","10% Leakage, R-4","30% Leakage, Uninsulated","20% Leakage, R-6",In Finished Space,"7.5% Leakage, R-8","20% Leakage, Uninsulated","10% Leakage, R-6","7.5% Leakage, R-4","10% Leakage, R-8","15% Leakage, Uninsulated"
unheated basement,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
heated basement,pre-1950,0.01163,0,0,0,0,0,0,0,0.02326,0.00581,0,0,0.00581,0,0.79651,0.00581,0,0,0,0,0.00581
crawl,pre-1950,0.00295,0.00295,0.0118,0,0.00295,0,0,0.00295,0.0177,0.00885,0.00885,0,0,0.00885,0.45723,0.0236,0,0,0.00295,0,0
slab,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06522,0.5,0,0,0,0,0,0
unheated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857,0,0,0,0,0,0
heated basement,1950s,0.02857,0,0,0,0,0,0,0,0.01429,0,0,0,0.02857,0,0.72857,0.07143,0.01429,0,0,0,0
crawl,1950s,0.00704,0.03521,0,0,0,0,0,0,0.00704,0.02113,0,0,0,0,0.50704,0.02113,0.04225,0,0,0,0
slab,1950s,0,0.08696,0,0,0,0,0,0,0,0.08696,0,0,0,0,0.47826,0,0,0,0,0,0
unheated basement,1960s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
heated basement,1960s,0,0,0,0,0,0.01493,0,0,0,0,0,0,0,0,0.74627,0,0,0,0.01493,0,0.02985
crawl,1960s,0.02586,0,0,0,0,0,0,0.01293,0.05172,0.02586,0,0.02155,0,0,0.60776,0.01293,0,0,0.02155,0.01293,0.01293
slab,1960s,0,0,0,0,0,0,0,0,0.09091,0,0,0.21212,0,0,0.33333,0,0,0,0,0.09091,0
unheated basement,1970s,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0
heated basement,1970s,0.00971,0,0,0,0.02913,0,0,0,0,0,0,0,0,0,0.75728,0,0,0,0.02913,0,0
crawl,1970s,0.00763,0,0,0,0.06489,0,0.07252,0.01527,0.0229,0,0,0.0229,0.01145,0,0.41603,0,0,0,0.03817,0.01145,0
slab,1970s,0.07895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44737,0,0,0,0.10526,0.05263,0
unheated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66667,0,0,0,0,0,0
heated basement,1980s,0,0,0,0,0,0,0,0,0.04615,0,0,0,0,0,0.70769,0,0,0,0,0,0
crawl,1980s,0,0,0,0,0.01852,0,0,0,0.04321,0.04938,0,0,0.01852,0,0.57407,0,0,0,0,0.06173,0.00617
slab,1980s,0.21429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
unheated basement,1990s,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0
heated basement,1990s,0.0495,0,0,0,0,0,0.0396,0,0,0,0,0.0099,0,0,0.77228,0,0,0,0,0,0.0198
crawl,1990s,0,0,0.01554,0.00518,0,0.01036,0.04145,0.01554,0,0.00518,0,0.01554,0,0.03109,0.63731,0.02591,0,0,0.01036,0.01554,0.00518
slab,1990s,0,0,0,0,0,0,0.16667,0,0,0,0,0,0,0,0.33333,0.04762,0.09524,0,0.02381,0,0
unheated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
heated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68817,0.03226,0,0,0,0,0
crawl,2000s,0,0.06316,0.01579,0.01579,0.02105,0,0.10526,0,0,0.02632,0,0.02632,0,0,0.45263,0.03684,0.01053,0.01579,0.01579,0.03684,0.00526
slab,2000s,0,0,0,0,0,0.05405,0,0,0,0.02703,0,0,0,0,0.2973,0.02703,0,0,0,0.02703,0.02703
unheated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawl,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0.4375,0,0,0,0,0
slab,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0
