Foundation Type,Vintage,"7.5% Leakage, Uninsulated","15% Leakage, R-8","15% Leakage, R-6","7.5% Leakage, R-6","20% Leakage, R-4","10% Leakage, Uninsulated","20% Leakage, R-8","15% Leakage, R-4","30% Leakage, R-4","30% Leakage, R-8","30% Leakage, R-6","10% Leakage, R-4","30% Leakage, Uninsulated","20% Leakage, R-6",In Finished Space,"7.5% Leakage, R-8","20% Leakage, Uninsulated","10% Leakage, R-6","7.5% Leakage, R-4","10% Leakage, R-8","15% Leakage, Uninsulated"
unheated basement,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
heated basement,pre-1950,0.01338,0,0,0,0,0,0,0.00334,0.02341,0.00334,0,0,0.00334,0,0.79599,0.00334,0,0,0,0,0.00669
crawl,pre-1950,0.00287,0.0043,0.01148,0,0.0043,0,0,0.00143,0.01722,0.00861,0.00861,0,0,0.00861,0.45768,0.02296,0,0,0.00287,0,0
slab,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05932,0.5,0,0,0,0,0,0
unheated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
heated basement,1950s,0.03053,0,0,0,0,0,0,0,0.00763,0,0,0,0.03053,0,0.73282,0.0687,0.00763,0,0,0,0
crawl,1950s,0.00345,0.03793,0,0,0,0,0,0,0.0069,0.02069,0,0,0,0,0.5069,0.02414,0.04138,0,0,0,0
slab,1950s,0,0.09091,0,0,0,0,0,0,0,0.10909,0,0,0,0,0.45455,0,0.01818,0,0,0,0
unheated basement,1960s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0
heated basement,1960s,0,0,0,0,0,0.01786,0,0,0,0,0,0,0,0,0.75,0,0,0,0.0119,0,0.02976
crawl,1960s,0.02342,0,0,0,0,0,0,0.01639,0.05386,0.02342,0,0.02342,0,0,0.60656,0.01171,0,0,0.02342,0.01171,0.01405
slab,1960s,0,0,0,0,0,0,0,0,0.08,0,0,0.2,0,0,0.33333,0,0,0,0,0.08,0.01333
unheated basement,1970s,0,0,0,0,0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0,0,0.125,0,0,0,0
heated basement,1970s,0.01364,0,0,0,0.03182,0,0,0,0,0,0,0,0,0,0.75455,0,0,0,0.02727,0,0
crawl,1970s,0.00786,0,0,0,0.0668,0,0.07269,0.01572,0.02161,0,0,0.02161,0.01179,0,0.4165,0,0,0,0.03733,0.00982,0
slab,1970s,0.06757,0,0,0,0.01351,0,0,0,0,0,0,0,0,0,0.44595,0,0,0,0.09459,0.06757,0
unheated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57143,0,0,0,0,0,0
heated basement,1980s,0,0,0,0,0,0,0,0,0.05263,0,0,0,0,0,0.70677,0,0,0,0,0,0
crawl,1980s,0,0,0,0,0.0209,0,0,0,0.04478,0.05075,0,0,0.01791,0,0.57313,0,0,0,0,0.0597,0.00597
slab,1980s,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0
unheated basement,1990s,0,0,0.08333,0,0.08333,0,0.08333,0.08333,0.08333,0.08333,0.08333,0,0.08333,0.08333,0,0,0.08333,0,0,0,0.08333
heated basement,1990s,0.055,0,0,0,0,0,0.035,0,0,0,0,0.01,0,0,0.78,0,0,0,0,0,0.015
crawl,1990s,0,0,0.01538,0.00769,0,0.01282,0.04103,0.01538,0,0.00513,0,0.01538,0,0.02821,0.6359,0.02821,0,0,0.00769,0.01538,0.00769
slab,1990s,0,0,0,0,0,0,0.17722,0,0,0,0,0,0,0,0.32911,0.03797,0.10127,0,0.01266,0,0
unheated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0
heated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68586,0.03665,0,0,0,0,0
crawl,2000s,0,0.06616,0.01272,0.01272,0.02036,0,0.10687,0,0,0.02799,0,0.02545,0,0,0.45547,0.03562,0.01272,0.01781,0.01781,0.03562,0.00254
slab,2000s,0,0,0,0,0,0.0566,0,0,0,0.01887,0,0,0,0,0.30189,0.0566,0,0,0,0.01887,0.01887
unheated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawl,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43333,0.43333,0,0,0,0,0
slab,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
