Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Region
AL, 00100	Mobile Home	2030s	0.930757	0.000000	0.037291	0.000000	0.021912	0.010040	South
AL, 00100	Multi-Family with 2 - 4 Units	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00100	Multi-Family with 5+ Units	2030s	0.982674	0.000000	0.017326	0.000000	0.000000	0.000000	South
AL, 00100	Single-Family Attached	2030s	0.879378	0.000000	0.114751	0.000000	0.000000	0.005871	South
AL, 00100	Single-Family Detached	2030s	0.792132	0.000000	0.194162	0.000000	0.000000	0.013706	South
AL, 00200	Mobile Home	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Multi-Family with 2 - 4 Units	2030s	0.894461	0.000000	0.088405	0.000000	0.000000	0.017134	South
AL, 00200	Multi-Family with 5+ Units	2030s	0.943293	0.000000	0.048432	0.003938	0.002626	0.001711	South
AL, 00200	Single-Family Attached	2030s	0.879378	0.000000	0.114751	0.000000	0.000000	0.005871	South
AL, 00200	Single-Family Detached	2030s	0.916665	0.000000	0.058689	0.017043	0.000000	0.007602	South
AL, 00301	Mobile Home	2030s	0.938924	0.000000	0.008023	0.014440	0.005458	0.033155	South
AL, 00301	Multi-Family with 2 - 4 Units	2030s	0.894461	0.000000	0.088405	0.000000	0.000000	0.017134	South
AL, 00301	Multi-Family with 5+ Units	2030s	0.975449	0.000000	0.024551	0.000000	0.000000	0.000000	South
AL, 00301	Single-Family Attached	2030s	0.879378	0.000000	0.114751	0.000000	0.000000	0.005871	South
AL, 00301	Single-Family Detached	2030s	0.845528	0.000000	0.142914	0.011558	0.000000	0.000000	South
AL, 00302	Mobile Home	2030s	0.938924	0.000000	0.008023	0.014440	0.005458	0.033155	South
AL, 00302	Multi-Family with 2 - 4 Units	2030s	0.894461	0.000000	0.088405	0.000000	0.000000	0.017134	South
AL, 00302	Multi-Family with 5+ Units	2030s	0.955168	0.000000	0.031409	0.000000	0.013423	0.000000	South
AL, 00302	Single-Family Attached	2030s	0.879378	0.000000	0.114751	0.000000	0.000000	0.005871	South
