Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.106,0.027,0.003,0.66,0.032,0.062,0.03,0.0,0.0,0.0,0.889,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.099,0.016,0.002,0.618,0.021,0.053,0.03,0.0,0.0,0.0,0.818,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.099,0.011,0.001,0.607,0.017,0.048,0.03,0.0,1.103,0.0,0.797,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.099,0.011,0.001,0.592,0.017,0.046,0.03,0.0,0.0,0.0,0.78,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.099,0.012,0.001,0.563,0.025,0.042,0.03,0.0,1.103,0.0,0.748,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.099,0.033,0.004,0.616,0.037,0.042,0.03,0.0,0.0,0.0,0.824,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.009,0.077,0.009,0.758,0.052,0.004,0.025,0.0,1.103,0.0,0.882,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.154,0.098,0.012,0.832,0.068,0.106,0.03,0.0,11.387,28.029,1.231,11.455,28.029
2009/01/01 09:00:00,0.0,0.0,0.111,0.104,0.012,0.694,0.099,0.063,0.029,0.0,2.854,0.0,1.012,2.953,0.0
2009/01/01 10:00:00,0.0,0.0,0.118,0.107,0.013,0.575,0.127,0.067,0.03,0.0,0.0,0.0,0.91,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.137,0.104,0.012,0.576,0.132,0.077,0.03,0.0,1.103,0.0,0.937,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.08,0.1,0.012,0.625,0.128,0.033,0.03,0.0,0.0,0.0,0.881,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.135,0.097,0.012,0.611,0.125,0.077,0.03,0.0,1.103,0.0,0.962,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.144,0.096,0.012,0.623,0.1,0.082,0.03,0.0,0.0,0.0,0.987,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.148,0.097,0.012,0.732,0.093,0.09,0.03,0.0,1.159,1.346,1.109,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.13,0.104,0.013,0.681,0.09,0.076,0.03,0.0,1.103,0.443,1.034,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.13,0.125,0.015,0.852,0.101,0.076,0.03,0.0,0.0,0.0,1.229,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.149,0.166,0.02,1.14,0.106,0.086,0.03,0.0,1.103,0.0,1.591,1.209,0.0
2009/01/01 19:00:00,0.0,0.0,0.191,0.208,0.025,1.197,0.084,0.15,0.03,0.0,8.489,16.661,1.802,8.573,16.661
2009/01/01 20:00:00,0.0,0.0,0.196,0.219,0.026,1.136,0.074,0.142,0.03,0.0,9.24,18.735,1.749,9.314,18.735
2009/01/01 21:00:00,0.0,0.0,0.16,0.187,0.022,1.134,0.066,0.124,0.03,0.0,0.0,0.0,1.658,0.066,0.0
2009/01/01 22:00:00,0.0,0.0,0.154,0.142,0.017,1.086,0.062,0.12,0.03,0.0,1.103,0.0,1.549,1.165,0.0
2009/01/01 23:00:00,0.0,0.0,0.154,0.122,0.015,0.932,0.051,0.091,0.03,0.0,0.0,0.0,1.344,0.051,0.0
2009/01/02 00:00:00,0.0,0.0,0.13,0.054,0.007,0.799,0.044,0.075,0.03,0.0,1.103,0.0,1.095,1.147,0.0
2009/01/02 01:00:00,0.0,0.0,0.107,0.027,0.003,0.66,0.032,0.063,0.03,0.0,0.0,0.0,0.891,0.032,0.0
2009/01/02 02:00:00,0.0,0.0,0.099,0.016,0.002,0.618,0.021,0.055,0.03,0.0,1.103,0.0,0.82,1.124,0.0
2009/01/02 03:00:00,0.0,0.0,0.099,0.011,0.001,0.607,0.017,0.05,0.03,0.0,0.0,0.0,0.799,0.017,0.0
2009/01/02 04:00:00,0.0,0.0,0.099,0.011,0.001,0.592,0.017,0.047,0.03,0.0,0.0,0.0,0.781,0.017,0.0
2009/01/02 05:00:00,0.0,0.0,0.099,0.012,0.001,0.563,0.025,0.043,0.03,0.0,1.103,0.0,0.749,1.128,0.0
