Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	Option=Not Available	source_count	source_weight
10000-14999	0	0	0	0	0	0	0	1	0	0
10000-14999	1	0.524261	0.475739	0	0	0	0	0	170846	3.31532e+06
10000-14999	10+	1	0	0	0	0	0	0	70	1406
10000-14999	2	1	0	0	0	0	0	0	50961	1.01758e+06
10000-14999	3	1	0	0	0	0	0	0	17913	409098
10000-14999	4	1	0	0	0	0	0	0	10516	251230
10000-14999	5	1	0	0	0	0	0	0	4974	117988
10000-14999	6	1	0	0	0	0	0	0	1964	47831
10000-14999	7	1	0	0	0	0	0	0	626	15038
10000-14999	8	1	0	0	0	0	0	0	255	5824
10000-14999	9	1	0	0	0	0	0	0	97	2144
100000-119999	0	0	0	0	0	0	0	1	0	0
100000-119999	1	0	0	0	0	0	1	0	53172	1.06159e+06
100000-119999	10+	0	0.022792	0.531282	0.445926	0	0	0	893	17550
100000-119999	2	0	0	0	0	0	1	0	195267	3.47809e+06
100000-119999	3	0	0	0	0	0	1	0	93959	1.8089e+06
100000-119999	4	0	0	0	0	0.161607	0.838393	0	79808	1.59612e+06
100000-119999	5	0	0	0	0	1	0	0	34627	709027
100000-119999	6	0	0	0	0.220427	0.779573	0	0	13010	273429
100000-119999	7	0	0	0	0.870523	0.129477	0	0	4842	101277
100000-119999	8	0	0	0	1	0	0	0	1984	42049
100000-119999	9	0	0	0	1	0	0	0	889	18140
120000-139999	0	0	0	0	0	0	0	1	0	0
120000-139999	1	0	0	0	0	0	1	0	30104	596089
120000-139999	10+	0	0.0039592	0.0852906	0.91075	0	0	0	759	14902
120000-139999	2	0	0	0	0	0	1	0	135042	2.4153e+06
120000-139999	3	0	0	0	0	0	1	0	70073	1.33614e+06
120000-139999	4	0	0	0	0	0	1	0	63123	1.26482e+06
120000-139999	5	0	0	0	0	0.0307636	0.969236	0	26880	549969
120000-139999	6	0	0	0	0	0.928167	0.0718326	0	10187	213385
120000-139999	7	0	0	0	0	1	0	0	3688	75544
120000-139999	8	0	0	0	0.548407	0.451593	0	0	1514	31473
120000-139999	9	0	0	0	1	0	0	0	673	13854
140000-159999	0	0	0	0	0	0	0	1	0	0
140000-159999	1	0	0	0	0	0	1	0	18969	371051
140000-159999	10+	0	0.00298036	0.0157784	0.888412	0.0928296	0	0	584	11408
140000-159999	2	0	0	0	0	0	1	0	95312	1.7062e+06
140000-159999	3	0	0	0	0	0	1	0	51919	988569
140000-159999	4	0	0	0	0	0	1	0	48968	973870
140000-159999	5	0	0	0	0	0	1	0	20269	408626
140000-159999	6	0	0	0	0	0	1	0	7627	155153
140000-159999	7	0	0	0	0	0.835319	0.164681	0	2785	56315
140000-159999	8	0	0	0	0	1	0	0	1205	23957
140000-159999	9	0	0	0	0.185883	0.814117	0	0	545	10512
15000-19999	0	0	0	0	0	0	0	1	0	0
15000-19999	1	0	0.777034	0.222966	0	0	0	0	155746	2.93676e+06
15000-19999	10+	1	0	0	0	0	0	0	112	2195
15000-19999	2	0.375287	0.624713	0	0	0	0	0	64263	1.25958e+06
15000-19999	3	1	0	0	0	0	0	0	21541	496587
15000-19999	4	1	0	0	0	0	0	0	13575	323458
15000-19999	5	1	0	0	0	0	0	0	6521	160909
