Dependency=State	Option=AK	Option=Others	source_count	source_weight
AK	1	0	1	1
AL	0	1	1	1
AR	0	1	1	1
AZ	0	1	1	1
CA	0	1	1	1
CO	0	1	1	1
CT	0	1	1	1
DC	0	1	1	1
DE	0	1	1	1
FL	0	1	1	1
GA	0	1	1	1
HI	0	1	1	1
IA	0	1	1	1
ID	0	1	1	1
IL	0	1	1	1
IN	0	1	1	1
KS	0	1	1	1
KY	0	1	1	1
LA	0	1	1	1
MA	0	1	1	1
MD	0	1	1	1
ME	0	1	1	1
MI	0	1	1	1
MN	0	1	1	1
MO	0	1	1	1
MS	0	1	1	1
MT	0	1	1	1
NC	0	1	1	1
ND	0	1	1	1
NE	0	1	1	1
NH	0	1	1	1
NJ	0	1	1	1
NM	0	1	1	1
NV	0	1	1	1
NY	0	1	1	1
OH	0	1	1	1
OK	0	1	1	1
OR	0	1	1	1
PA	0	1	1	1
RI	0	1	1	1
SC	0	1	1	1
SD	0	1	1	1
TN	0	1	1	1
TX	0	1	1	1
UT	0	1	1	1
VA	0	1	1	1
VT	0	1	1	1
WA	0	1	1	1
WI	0	1	1	1
WV	0	1	1	1
WY	0	1	1	1
# Created by: sources\aris\tsv_maker.py
# Description: A custom selection of states to be able to have more fine tuned probability distributionin states where we have more data
