Dependency=Geometry Stories	Option=<8	Option=8+	source_count	source_weight
1	1	0	5814	5.45188e+07
2	1	0	4124	3.81491e+07
3	1	0	775	7.42445e+06
4	1	0	127	1.35945e+06
5	1	0	75	731535
6	1	0	62	577566
7	1	0	19	171245
8	0	1	13	141790
9	0	1	10	122228
10	0	1	12	106310
11	0	1	8	86678.7
12	0	1	14	160368
13	0	1	9	75150.4
14	0	1	10	95842.6
15	0	1	11	108549
20	0	1	15	120772
21	0	1	51	572630
35	0	1	8	80784.2
# Created by: sources\recs\recs2009\tsv_maker.py
# Description: The building has more than 8 or less than 8 stories.
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
