Dependency=Duct Location	Dependency=Vintage	Option=0% Leakage to Outside, Uninsulated	Option=10% Leakage to Outside, R-4	Option=10% Leakage to Outside, R-6	Option=10% Leakage to Outside, R-8	Option=10% Leakage to Outside, Uninsulated	Option=20% Leakage to Outside, R-4	Option=20% Leakage to Outside, R-6	Option=20% Leakage to Outside, R-8	Option=20% Leakage to Outside, Uninsulated	Option=30% Leakage to Outside, R-4	Option=30% Leakage to Outside, R-6	Option=30% Leakage to Outside, R-8	Option=30% Leakage to Outside, Uninsulated	Option=None
Garage	<1940	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1940s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1950s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1960s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1970s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1980s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	1990s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Garage	2000s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Garage	2010s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Heated Basement	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1940s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1950s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1960s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1970s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1980s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	1990s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	2000s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Heated Basement	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1940s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1950s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1960s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1970s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1980s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	1990s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	2000s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Space	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0
None	<1940	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1940s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1950s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1960s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1970s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1980s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	1990s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	2000s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
None	2010s	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Unheated Basement	<1940	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
