Dependency=County and PUMA	Option=No	Option=Yes
G0100010, G01002100	1	0
G0100030, G01002600	1	0
G0100050, G01002400	1	0
G0100070, G01001700	1	0
G0100090, G01000800	1	0
G0100110, G01002400	1	0
G0100130, G01002300	1	0
G0100150, G01001100	1	0
G0100170, G01001800	1	0
G0100190, G01001000	1	0
G0100210, G01001800	1	0
G0100230, G01002200	1	0
G0100250, G01002200	1	0
G0100270, G01001000	1	0
G0100290, G01001000	1	0
G0100310, G01002300	0.656083	0.343917
G0100330, G01000100	1	0
G0100350, G01002200	1	0
G0100370, G01001800	1	0
G0100390, G01002300	1	0
G0100410, G01002300	0.981447	0.0185531
G0100430, G01000700	0.999117	0.000883048
G0100450, G01002500	1	0
G0100470, G01001700	1	0
G0100490, G01000400	1	0
G0100510, G01002100	0.999966	3.4164e-05
G0100530, G01002200	0.993479	0.00652073
G0100550, G01000900	1	0
G0100570, G01001400	1	0
G0100590, G01000100	1	0
G0100610, G01002500	0.859196	0.140804
G0100630, G01001700	1	0
G0100650, G01001700	1	0
G0100670, G01002500	1	0
G0100690, G01002500	0.161379	0.838621
G0100710, G01000400	1	0
G0100730, G01001301	1	0
G0100730, G01001302	1	0
G0100730, G01001303	1	0
G0100730, G01001304	1	0
G0100730, G01001305	1	0
G0100750, G01001400	1	0
G0100770, G01000100	1	0
G0100790, G01000600	0.217728	0.782272
G0100810, G01001900	1	0
G0100830, G01000200	1	0
G0100850, G01002100	1	0
G0100870, G01002400	1	0
G0100890, G01000200	0.831451	0.168549
G0100890, G01000301	0.951668	0.0483318
G0100890, G01000302	1	0
G0100890, G01000500	0.835259	0.164741
G0100910, G01001700	1	0
G0100930, G01000100	1	0
G0100930, G01001400	1	0
G0100950, G01000500	0.796534	0.203466
G0100970, G01002701	1	0
G0100970, G01002702	1	0
G0100970, G01002703	0.999846	0.000154255
G0100990, G01002200	1	0
G0101010, G01002000	1	0
G0101010, G01002100	0.999927	7.2753e-05
G0101030, G01000600	1	0
G0101050, G01001700	1	0
G0101070, G01001500	1	0
G0101090, G01002400	0.835974	0.164026
G0101110, G01001000	1	0
G0101130, G01002400	1	0
G0101150, G01000800	1	0
G0101170, G01001200	1	0
G0101190, G01001700	1	0
G0101210, G01001000	1	0
G0101230, G01001800	1	0
G0101250, G01001500	1	0
G0101250, G01001600	1	0
G0101270, G01001400	1	0
G0101290, G01002200	0.997463	0.00253675
G0101310, G01002200	1	0
G0101330, G01000700	1	0
G0200130, G02000400	0.151272	0.848728
G0200160, G02000400	0.248379	0.751621
G0200200, G02000101	0.999429	0.000570555
G0200200, G02000102	1	0
G0200500, G02000400	0.047387	0.952613
G0200600, G02000400	0.275542	0.724458
G0200680, G02000300	0.887634	0.112366
G0200700, G02000400	0.180291	0.819709
G0200900, G02000300	1	0
G0201000, G02000300	0.857756	0.142244
G0201050, G02000400	0.59029	0.40971
G0201100, G02000300	0.793809	0.206191
G0201220, G02000200	0.11696	0.88304
G0201300, G02000300	0.05018	0.94982
G0201500, G02000400	0.910727	0.0892733
G0201580, G02000400	0.086578	0.913422
G0201640, G02000400	0.249667	0.750333
G0201700, G02000200	0.020139	0.979861
G0201800, G02000400	0.108559	0.891441
G0201850, G02000400	0.024321	0.975679
G0201880, G02000400	0.157487	0.842513
G0201950, G02000400	0.32347	0.67653
G0201980, G02000400	0.480727	0.519273
G0202200, G02000400	0.491756	0.508244
G0202300, G02000300	0.001572	0.998428
G0202400, G02000300	0.899012	0.100988
G0202610, G02000300	0.828005	0.171995
G0202750, G02000400	0.577031	0.422969
G0202820, G02000400	0.148889	0.851111
G0202900, G02000400	0.298376	0.701624
G0400010, G04000300	0.319743	0.680257
G0400030, G04000900	1	0
G0400050, G04000400	0.866302	0.133698
G0400070, G04000800	0.928084	0.071916
G0400090, G04000800	0.91227	0.0877299
G0400110, G04000800	1	0
G0400120, G04000600	0.778428	0.221572
G0400130, G04000100	1	0
G0400130, G04000101	1	0
G0400130, G04000102	1	0
G0400130, G04000103	1	0
G0400130, G04000104	1	0
G0400130, G04000105	1	0
G0400130, G04000106	1	0
G0400130, G04000107	1	0
G0400130, G04000108	1	0
G0400130, G04000109	1	0
G0400130, G04000110	1	0
G0400130, G04000111	0.950479	0.0495209
G0400130, G04000112	1	0
G0400130, G04000113	1	0
G0400130, G04000114	1	0
G0400130, G04000115	1	0
G0400130, G04000116	1	0
G0400130, G04000117	1	0
G0400130, G04000118	1	0
G0400130, G04000119	1	0
G0400130, G04000120	1	0
G0400130, G04000121	1	0
G0400130, G04000122	1	0
G0400130, G04000123	1	0
G0400130, G04000124	1	0
G0400130, G04000125	1	0
G0400130, G04000126	1	0
G0400130, G04000127	1	0
G0400130, G04000128	1	0
G0400130, G04000129	1	0
G0400130, G04000130	1	0
G0400130, G04000131	1	0
G0400130, G04000132	1	0
G0400130, G04000133	1	0
G0400130, G04000134	0.974934	0.0250662
G0400150, G04000600	0.991648	0.00835243
G0400170, G04000300	0.716303	0.283697
G0400190, G04000201	0.902102	0.097898
G0400190, G04000202	1	0
G0400190, G04000203	1	0
G0400190, G04000204	1	0
G0400190, G04000205	1	0
G0400190, G04000206	1	0
G0400190, G04000207	1	0
G0400190, G04000208	1	0
G0400190, G04000209	1	0
G0400210, G04000800	0.99981	0.000190397
G0400210, G04000803	1	0
G0400210, G04000805	0.947996	0.0520036
G0400210, G04000807	0.974172	0.0258284
G0400230, G04000900	1	0
G0400250, G04000500	0.997306	0.00269359
G0400270, G04000700	0.991776	0.00822447
G0500010, G05001700	1	0
G0500010, G05001800	1	0
G0500030, G05001800	1	0
G0500050, G05000300	1	0
G0500070, G05000100	1	0
G0500090, G05000300	1	0
G0500110, G05001800	1	0
G0500130, G05001900	1	0
G0500150, G05000300	1	0
G0500170, G05001800	1	0
G0500190, G05001600	1	0
G0500210, G05000500	1	0
G0500230, G05000400	1	0
G0500250, G05001800	1	0
G0500270, G05001900	1	0
G0500290, G05001300	1	0
G0500310, G05000500	1	0
G0500310, G05000600	1	0
G0500330, G05001400	1	0
G0500350, G05000600	1	0
G0500370, G05000700	1	0
G0500390, G05001900	1	0
G0500410, G05001800	1	0
G0500430, G05001800	1	0
G0500450, G05001100	1	0
G0500470, G05001500	1	0
G0500490, G05000400	1	0
G0500510, G05001600	1	0
G0500530, G05001700	1	0
G0500550, G05000500	1	0
G0500570, G05002000	1	0
G0500590, G05001600	1	0
G0500610, G05001500	1	0
G0500630, G05000400	1	0
G0500650, G05000400	1	0
G0500670, G05000800	1	0
G0500690, G05001700	1	0
G0500710, G05001300	1	0
G0500730, G05002000	1	0
G0500750, G05000500	1	0
G0500770, G05000700	1	0
G0500790, G05001800	1	0
G0500810, G05002000	1	0
G0500830, G05001500	1	0
G0500850, G05001100	1	0
G0500870, G05000300	1	0
G0500890, G05000300	1	0
G0500910, G05002000	1	0
G0500930, G05000600	1	0
