Dependency=Usage Level	Option=80% Usage	Option=100% Usage	Option=120% Usage
Average	0	1	0
Medium	0	1	0
Low	1	0	0
High	0	0	1
# Created by: sources\other\tsv_maker.py
# Description: Clothes dryer energy usage level multiplier.
# Source: n/a
# Assumption: Engineering judgement
