Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Central AC	Ducted Heat Pump	0	1	40	361951	0
Heat Pump	Ducted Heat Pump	0	1	1050	1.05302e+07	0.114818
None	Ducted Heat Pump	0	1	19	177209	0
Room AC	Ducted Heat Pump	0	1	3	24582.8	0
Central AC	Ducted Heating	0	1	5709	5.26584e+07	0.469888
Heat Pump	Ducted Heating	0.5	0.5	0	0	0
None	Ducted Heating	0	1	965	8.89671e+06	0.0809819
Room AC	Ducted Heating	0	1	771	7.71175e+06	0.0667014
Central AC	Non-Ducted Heat Pump	0.5	0.5	0	0	0
Heat Pump	Non-Ducted Heat Pump	0.5	0.5	0	0	0
None	Non-Ducted Heat Pump	0.5	0.5	0	0	0
Room AC	Non-Ducted Heat Pump	0.5	0.5	0	0	0
Central AC	Non-Ducted Heating	0	1	478	4.83248e+06	0.0516254
Heat Pump	Non-Ducted Heating	1	0	19	161518	0
None	Non-Ducted Heating	1	0	913	8.53535e+06	0.0764227
Room AC	Non-Ducted Heating	1	0	1625	1.57639e+07	0.130657
Central AC	None	0	1	131	1.01105e+06	0.00209393
Heat Pump	None	0.5	0.5	0	0	0
None	None	1	0	184	1.45983e+06	0.00308268
Room AC	None	1	0	77	609820	0.00372905
# Created by: sources\recs\recs2009\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
