Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL, 00100	Mobile Home	2020s	0.918925	0.000000	0.046614	0.000000	0.021912	0.012550
AL, 00100	Multi-Family with 2 - 4 Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	Multi-Family with 5+ Units	2020s	0.978342	0.000000	0.021658	0.000000	0.000000	0.000000
AL, 00100	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00100	Single-Family Detached	2020s	0.740165	0.000000	0.242703	0.000000	0.000000	0.017132
AL, 00200	Mobile Home	2020s	0.997429	0.002571	0.000000	0.000000	0.000000	0.000000
AL, 00200	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00200	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00200	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00200	Single-Family Detached	2020s	0.899648	0.000445	0.073361	0.017043	0.000000	0.009503
AL, 00301	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00301	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00301	Multi-Family with 5+ Units	2020s	0.969312	0.000000	0.030688	0.000000	0.000000	0.000000
AL, 00301	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00301	Single-Family Detached	2020s	0.809799	0.000000	0.178643	0.011558	0.000000	0.000000
AL, 00302	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00302	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00302	Multi-Family with 5+ Units	2020s	0.947315	0.000000	0.039262	0.000000	0.013423	0.000000
AL, 00302	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00302	Single-Family Detached	2020s	0.797854	0.000000	0.202146	0.000000	0.000000	0.000000
AL, 00400	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00400	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00400	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00400	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00400	Single-Family Detached	2020s	0.829582	0.000000	0.081029	0.003215	0.070740	0.015434
AL, 00500	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00500	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00500	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00500	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00500	Single-Family Detached	2020s	0.843990	0.000000	0.129015	0.000000	0.026108	0.000887
AL, 00600	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00600	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00600	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00600	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00600	Single-Family Detached	2020s	0.828999	0.000000	0.130494	0.000000	0.028401	0.012108
AL, 00700	Mobile Home	2020s	0.893682	0.000000	0.000000	0.043573	0.000000	0.062745
AL, 00700	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00700	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00700	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00700	Single-Family Detached	2020s	0.789002	0.000000	0.085166	0.000000	0.026854	0.098977
AL, 00800	Mobile Home	2020s	0.657022	0.000000	0.000000	0.000000	0.136170	0.206808
AL, 00800	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00800	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00800	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 00800	Single-Family Detached	2020s	0.698735	0.000000	0.254950	0.012651	0.014851	0.018812
AL, 00900	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 00900	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 00900	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 00900	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
