const,major_elec_load_count_w_ev_pv,panel_amp_pre_bin__101_199,panel_amp_pre_bin__200,panel_amp_pre_bin__201_plus,panel_amp_pre_bin__lt_100,panel_slots_empty,predictions_mean
1.0,1,1,0,0,0,6,4.1535448767123375
1.0,1,0,0,0,0,1,3.553685989862991
1.0,1,0,1,0,0,0,6.03254926837135
1.0,3,0,0,0,0,3,3.3244670868028523
1.0,0,0,0,0,0,8,3.6672900554580536
1.0,3,0,0,0,0,3,3.3244670868028523
1.0,3,0,0,0,1,1,3.1213748989278365
1.0,4,0,1,0,0,24,5.390237633478416
1.0,0,1,0,0,0,0,4.2754540199602875
1.0,2,0,0,0,1,4,3.251796496609967
1.0,0,0,0,0,0,4,3.6672900554580536
1.0,4,0,1,0,0,1,5.390237633478416
1.0,3,0,0,0,0,4,3.3244670868028523
1.0,1,0,0,0,0,6,3.553685989862991
1.0,2,0,1,0,0,0,5.816060715002827
1.0,3,1,0,0,0,12,3.904056500649209
1.0,1,0,0,1,0,2,5.055932101448587
1.0,4,0,0,0,0,7,3.209854447634033
1.0,2,0,0,0,0,5,3.4392383026479103
1.0,2,1,0,0,0,0,4.0295317524481
1.0,3,0,0,0,0,1,3.3244670868028523
1.0,4,0,0,0,0,2,3.209854447634033
1.0,3,0,0,0,0,2,3.3244670868028523
1.0,3,0,0,0,0,8,3.3244670868028523
1.0,0,0,0,1,0,5,5.221810398223977
1.0,1,0,0,0,0,1,3.553685989862991
1.0,0,0,1,0,0,13,6.250470055033304
1.0,3,0,0,0,0,4,3.3244670868028523
1.0,4,1,0,0,0,3,3.777726582264105
1.0,1,0,0,0,0,3,3.553685989862991
1.0,2,1,0,0,0,1,4.0295317524481
1.0,1,0,0,0,0,2,3.553685989862991
1.0,2,0,0,0,0,7,3.4392383026479103
1.0,2,0,0,0,0,10,3.4392383026479103
1.0,3,1,0,0,0,14,3.904056500649209
1.0,1,0,1,0,0,13,6.03254926837135
1.0,1,0,1,0,0,3,6.03254926837135
1.0,2,0,0,1,0,8,4.88931556966021
1.0,2,0,0,0,0,2,3.4392383026479103
1.0,3,0,0,0,0,10,3.3244670868028523
1.0,4,0,0,0,0,1,3.209854447634033
1.0,2,1,0,0,0,2,4.0295317524481
1.0,3,0,0,0,0,9,3.3244670868028523
1.0,2,0,0,0,0,9,3.4392383026479103
