,coef,std err,z,P>|z|,[0.025,0.975],dispersion,mean
inflate_const,-1.2061,0.22,-5.481,0.0,-1.637,-0.775,1.0366693470907362,4.400173611111111
inflate_major_elec_load_count_w_ev_pv,-0.0866,0.07,-1.243,0.214,-0.223,0.05,1.0366693470907362,4.400173611111111
inflate_panel_amp_pre_bin__101_199,0.1621,0.25,0.649,0.517,-0.328,0.652,1.0366693470907362,4.400173611111111
inflate_panel_amp_pre_bin__200,-0.2915,0.251,-1.16,0.246,-0.784,0.201,1.0366693470907362,4.400173611111111
inflate_panel_amp_pre_bin__201_plus,-0.0551,0.436,-0.126,0.899,-0.911,0.8,1.0366693470907362,4.400173611111111
inflate_panel_amp_pre_bin__lt_100,-0.6327,0.645,-0.981,0.327,-1.897,0.632,1.0366693470907362,4.400173611111111
const,1.5613,0.071,22.022,0.0,1.422,1.7,1.0366693470907362,4.400173611111111
major_elec_load_count_w_ev_pv,-0.0508,0.021,-2.382,0.017,-0.093,-0.009,1.0366693470907362,4.400173611111111
panel_amp_pre_bin__101_199,0.1932,0.086,2.253,0.024,0.025,0.361,1.0366693470907362,4.400173611111111
panel_amp_pre_bin__200,0.4732,0.076,6.22,0.0,0.324,0.622,1.0366693470907362,4.400173611111111
panel_amp_pre_bin__201_plus,0.341,0.124,2.759,0.006,0.099,0.583,1.0366693470907362,4.400173611111111
panel_amp_pre_bin__lt_100,-0.1551,0.171,-0.907,0.364,-0.49,0.18,1.0366693470907362,4.400173611111111
alpha,0.5203,0.046,11.199,0.0,0.429,0.611,1.0366693470907362,4.400173611111111
