Dependency=Location Cooling Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
C1	127275.54412	282	745599.95	451.331716738	336512905.434
C2	41418.7164691	73	365693.86	567.379677659	207487264.409
C3	23498.5004817	48	159696.39	489.552093369	78179702.0279
