Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
<1950	33311.4024912	81	203038.47	411.251882607	83499953.0291
1950s	11559.3346703	37	134386.89	312.414450549	41984406.4004
1960s	17907.9776461	42	129496.63	426.380420145	55214827.5068
1970s	21280.7243178	60	218196.76	354.67873863	77389751.6101
1980s	11915.0253986	28	103633.82	425.53662138	44099985.6235
1990s	41166.7172836	73	242376.08	563.927634022	136682569.338
2000s	52764.0045559	77	227569.1	685.246812414	155941000.379
