Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	900459.30704	81	203038.47	11116.7815684	2257134320.97
1950s	510049.015216	37	134386.89	13785.1085194	1852537862.23
1960s	555428.025791	42	129496.63	13224.4768045	1712525179.7
1970s	977474.938927	60	218196.76	16291.2489821	3554697744.25
1980s	346354.874694	28	103633.82	12369.8169534	1281931383.58
1990s	730602.705429	73	242376.08	10008.2562388	2425761914.79
2000s	793726.412788	77	227569.1	10308.135231	2345813057.2
