Dependency=Location Heating Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	3849491.45843	316	1010623.67	12181.934995	12311351852.4
H2	777115.630925	61	217862.97	12739.600507	2775487203.06
H3	248389.580911	26	42503.56	9553.44541963	406055440.6
