Dependency=Location Cooling Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
C1	3386547.09743	282	745599.95	12009.0322604	8953933852.9
C2	921704.176683	73	365693.86	12626.0846121	4617281618.48
C3	566745.396154	48	159696.39	11807.1957532	1885566537.81
