Dependency=Location Heating Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	139369.396047	316	1010623.67	441.042392554	445727881.389
H2	30917.0423331	61	217862.97	506.836759559	110420961.743
H3	21906.3226908	26	42503.56	842.550872723	35811411.5718
