Dependency=Location Heating Region	Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	Electricity	2301890.06038	135	355765.11	17051.0374843	6066164226.21
H1	Natural Gas	1547601.39806	181	654858.56	8550.28396716	5599226646.32
H2	Electricity	492124.271409	23	58739.07	21396.7074526	1256822696.83
H2	Natural Gas	284991.359516	38	159123.9	7499.77261883	1193393068.22
H3	Electricity	43911.1147174	3	4468.01	14637.0382391	65398433.2228
H3	Natural Gas	204478.466193	23	38035.55	8890.36809535	338150040.209
