Dependency=Location Heating Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	<1950	829616.640362	76	191942.0	10916.0084258	2095240489.27
H1	1950s	350330.601339	28	82363.55	12511.8071907	1030516857.14
H1	1960s	485433.129441	38	124870.16	12774.5560379	1595160856.38
H1	1970s	760394.417525	45	174968.11	16897.6537228	2956550535.31
H1	1980s	328832.887082	25	96778.34	13153.3154833	1272956037.97
H1	1990s	504209.655229	49	162464.51	10289.9929639	1671758664.78
H1	2000s	540954.269346	51	166137.01	10606.9464578	1762206369.72
H2	<1950	40897.656199	2	5690.04	20448.8280995	116354649.839
H2	1950s	159718.413877	9	52023.34	17746.4904308	923231705.487
H2	1960s	64622.860217	3	3481.8	21540.9534057	75001291.5679
H2	1970s	174261.779457	11	34036.46	15841.9799506	539204916.909
H2	1980s	13454.180429	2	5710.81	6727.0902145	38417134.0679
H2	1990s	186068.445444	19	71181.8	9793.07607603	697088782.628
H2	2000s	126910.763029	14	44546.26	9065.05450204	403814274.762
H3	<1950	29945.010479	3	5406.43	9981.67015967	53965201.0013
H3	1960s	5372.0361332	1	1144.67	5372.0361332	6149208.60059
H3	1970s	42818.7419459	4	9192.19	10704.6854865	98399502.8819
H3	1980s	4067.8071831	1	1144.67	4067.8071831	4656296.84828
H3	1990s	40324.6047559	5	8729.77	8064.92095118	70404904.972
H3	2000s	125861.380413	12	16885.83	10488.4483678	177106156.102
