Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
Electricity	2837925.44651	161	418972.19	17626.8661274	7385166704.22
Natural Gas	2037071.22376	242	852018.01	8417.64968498	7171989133.47
