Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	13394.4079745	161	418972.19	83.1950805867	34856425.1106
Natural Gas	178798.353097	242	852018.01	738.836169821	629501723.127
