Dependency=Geometry Building Type RECS	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4	Option=5	sample_count	sample_weight
Single-Family Detached	0-1499	0.047369	0.288126	0.566605	0.087686	0.010214	1044.000000	20586974.000000
Single-Family Detached	1500-2499	0.008471	0.122110	0.575601	0.249143	0.044675	1415.000000	28182122.000000
Single-Family Detached	2500-3499	0.004754	0.049782	0.481146	0.366859	0.097458	765.000000	15152173.000000
Single-Family Detached	3500+	0.000000	0.018434	0.284503	0.474732	0.222331	514.000000	9758088.000000
Created by: recs\2015\tsv_maker.py using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata								
