upgrade,geometry_foundation_type,living_space_delta,building_id
0,Ambient,<-5 degF,0
0,Ambient,"[-5, -3) degF",0
0,Ambient,"[-3, -1) degF",0
0,Ambient,"[-1, 1) degF",0
0,Ambient,"[1, 3) degF",0
0,Ambient,"[3, 5) degF",0
0,Ambient,5+ degF,0
0,Heated Basement,<-5 degF,0
0,Heated Basement,"[-5, -3) degF",0
0,Heated Basement,"[-3, -1) degF",0
0,Heated Basement,"[-1, 1) degF",0
0,Heated Basement,"[1, 3) degF",0
0,Heated Basement,"[3, 5) degF",0
0,Heated Basement,5+ degF,0
0,Slab,<-5 degF,0
0,Slab,"[-5, -3) degF",0
0,Slab,"[-3, -1) degF",0
0,Slab,"[-1, 1) degF",0
0,Slab,"[1, 3) degF",0
0,Slab,"[3, 5) degF",0
0,Slab,5+ degF,0
0,Unheated Basement,<-5 degF,0
0,Unheated Basement,"[-5, -3) degF",0
0,Unheated Basement,"[-3, -1) degF",0
0,Unheated Basement,"[-1, 1) degF",0
0,Unheated Basement,"[1, 3) degF",0
0,Unheated Basement,"[3, 5) degF",0
0,Unheated Basement,5+ degF,0
0,Unvented Crawlspace,<-5 degF,0
0,Unvented Crawlspace,"[-5, -3) degF",0
0,Unvented Crawlspace,"[-3, -1) degF",0
0,Unvented Crawlspace,"[-1, 1) degF",0
0,Unvented Crawlspace,"[1, 3) degF",0
0,Unvented Crawlspace,"[3, 5) degF",0
0,Unvented Crawlspace,5+ degF,0
0,Vented Crawlspace,<-5 degF,0
0,Vented Crawlspace,"[-5, -3) degF",0
0,Vented Crawlspace,"[-3, -1) degF",0
0,Vented Crawlspace,"[-1, 1) degF",0
0,Vented Crawlspace,"[1, 3) degF",0
0,Vented Crawlspace,"[3, 5) degF",0
0,Vented Crawlspace,5+ degF,0
1,Ambient,<-5 degF,0
1,Ambient,"[-5, -3) degF",0
1,Ambient,"[-3, -1) degF",12
1,Ambient,"[-1, 1) degF",45218
1,Ambient,"[1, 3) degF",2431
1,Ambient,"[3, 5) degF",385
1,Ambient,5+ degF,120
1,Heated Basement,<-5 degF,0
1,Heated Basement,"[-5, -3) degF",0
1,Heated Basement,"[-3, -1) degF",0
1,Heated Basement,"[-1, 1) degF",57990
1,Heated Basement,"[1, 3) degF",4239
1,Heated Basement,"[3, 5) degF",1738
1,Heated Basement,5+ degF,590
1,Slab,<-5 degF,2
1,Slab,"[-5, -3) degF",2
1,Slab,"[-3, -1) degF",28
1,Slab,"[-1, 1) degF",178182
1,Slab,"[1, 3) degF",23244
1,Slab,"[3, 5) degF",5285
1,Slab,5+ degF,2032
1,Unheated Basement,<-5 degF,5
1,Unheated Basement,"[-5, -3) degF",2
1,Unheated Basement,"[-3, -1) degF",22
1,Unheated Basement,"[-1, 1) degF",77651
1,Unheated Basement,"[1, 3) degF",2518
1,Unheated Basement,"[3, 5) degF",1094
1,Unheated Basement,5+ degF,1109
1,Unvented Crawlspace,<-5 degF,0
1,Unvented Crawlspace,"[-5, -3) degF",0
1,Unvented Crawlspace,"[-3, -1) degF",0
1,Unvented Crawlspace,"[-1, 1) degF",9070
1,Unvented Crawlspace,"[1, 3) degF",412
1,Unvented Crawlspace,"[3, 5) degF",67
1,Unvented Crawlspace,5+ degF,14
1,Vented Crawlspace,<-5 degF,1
1,Vented Crawlspace,"[-5, -3) degF",3
1,Vented Crawlspace,"[-3, -1) degF",26
1,Vented Crawlspace,"[-1, 1) degF",104391
1,Vented Crawlspace,"[1, 3) degF",8684
1,Vented Crawlspace,"[3, 5) degF",3617
1,Vented Crawlspace,5+ degF,1639
2,Ambient,<-5 degF,0
2,Ambient,"[-5, -3) degF",0
2,Ambient,"[-3, -1) degF",12
2,Ambient,"[-1, 1) degF",45219
2,Ambient,"[1, 3) degF",2432
2,Ambient,"[3, 5) degF",385
2,Ambient,5+ degF,120
2,Heated Basement,<-5 degF,0
2,Heated Basement,"[-5, -3) degF",0
2,Heated Basement,"[-3, -1) degF",3
2,Heated Basement,"[-1, 1) degF",57150
2,Heated Basement,"[1, 3) degF",4114
2,Heated Basement,"[3, 5) degF",2972
2,Heated Basement,5+ degF,1458
2,Slab,<-5 degF,2
2,Slab,"[-5, -3) degF",3
2,Slab,"[-3, -1) degF",36
2,Slab,"[-1, 1) degF",177849
2,Slab,"[1, 3) degF",23553
2,Slab,"[3, 5) degF",5500
2,Slab,5+ degF,2205
2,Unheated Basement,<-5 degF,5
2,Unheated Basement,"[-5, -3) degF",3
2,Unheated Basement,"[-3, -1) degF",21
2,Unheated Basement,"[-1, 1) degF",77741
2,Unheated Basement,"[1, 3) degF",2532
2,Unheated Basement,"[3, 5) degF",1110
2,Unheated Basement,5+ degF,1138
2,Unvented Crawlspace,<-5 degF,0
2,Unvented Crawlspace,"[-5, -3) degF",0
2,Unvented Crawlspace,"[-3, -1) degF",0
2,Unvented Crawlspace,"[-1, 1) degF",9330
2,Unvented Crawlspace,"[1, 3) degF",522
2,Unvented Crawlspace,"[3, 5) degF",106
2,Unvented Crawlspace,5+ degF,27
2,Vented Crawlspace,<-5 degF,3
2,Vented Crawlspace,"[-5, -3) degF",5
2,Vented Crawlspace,"[-3, -1) degF",46
2,Vented Crawlspace,"[-1, 1) degF",104701
2,Vented Crawlspace,"[1, 3) degF",8597
2,Vented Crawlspace,"[3, 5) degF",5232
2,Vented Crawlspace,5+ degF,2665
3,Ambient,<-5 degF,99
3,Ambient,"[-5, -3) degF",212
3,Ambient,"[-3, -1) degF",503
3,Ambient,"[-1, 1) degF",45652
3,Ambient,"[1, 3) degF",471
3,Ambient,"[3, 5) degF",137
3,Ambient,5+ degF,1583
3,Heated Basement,<-5 degF,361
3,Heated Basement,"[-5, -3) degF",671
3,Heated Basement,"[-3, -1) degF",1394
3,Heated Basement,"[-1, 1) degF",62597
3,Heated Basement,"[1, 3) degF",777
3,Heated Basement,"[3, 5) degF",270
3,Heated Basement,5+ degF,2251
3,Slab,<-5 degF,3437
3,Slab,"[-5, -3) degF",3280
3,Slab,"[-3, -1) degF",5264
3,Slab,"[-1, 1) degF",198262
3,Slab,"[1, 3) degF",1863
3,Slab,"[3, 5) degF",694
3,Slab,5+ degF,2494
3,Unheated Basement,<-5 degF,575
3,Unheated Basement,"[-5, -3) degF",750
3,Unheated Basement,"[-3, -1) degF",1733
3,Unheated Basement,"[-1, 1) degF",78144
3,Unheated Basement,"[1, 3) degF",826
3,Unheated Basement,"[3, 5) degF",206
3,Unheated Basement,5+ degF,2524
3,Unvented Crawlspace,<-5 degF,24
3,Unvented Crawlspace,"[-5, -3) degF",51
3,Unvented Crawlspace,"[-3, -1) degF",122
3,Unvented Crawlspace,"[-1, 1) degF",9621
3,Unvented Crawlspace,"[1, 3) degF",72
3,Unvented Crawlspace,"[3, 5) degF",26
3,Unvented Crawlspace,5+ degF,245
3,Vented Crawlspace,<-5 degF,1000
3,Vented Crawlspace,"[-5, -3) degF",1025
3,Vented Crawlspace,"[-3, -1) degF",2758
3,Vented Crawlspace,"[-1, 1) degF",112527
3,Vented Crawlspace,"[1, 3) degF",876
3,Vented Crawlspace,"[3, 5) degF",279
3,Vented Crawlspace,5+ degF,2604
4,Ambient,<-5 degF,96
4,Ambient,"[-5, -3) degF",205
4,Ambient,"[-3, -1) degF",503
4,Ambient,"[-1, 1) degF",45659
4,Ambient,"[1, 3) degF",471
4,Ambient,"[3, 5) degF",132
4,Ambient,5+ degF,1591
4,Heated Basement,<-5 degF,315
4,Heated Basement,"[-5, -3) degF",626
4,Heated Basement,"[-3, -1) degF",1308
4,Heated Basement,"[-1, 1) degF",62854
4,Heated Basement,"[1, 3) degF",665
4,Heated Basement,"[3, 5) degF",284
4,Heated Basement,5+ degF,2269
4,Slab,<-5 degF,3430
4,Slab,"[-5, -3) degF",3274
4,Slab,"[-3, -1) degF",5275
4,Slab,"[-1, 1) degF",198252
4,Slab,"[1, 3) degF",1860
4,Slab,"[3, 5) degF",684
4,Slab,5+ degF,2519
4,Unheated Basement,<-5 degF,292
4,Unheated Basement,"[-5, -3) degF",625
4,Unheated Basement,"[-3, -1) degF",1484
4,Unheated Basement,"[-1, 1) degF",78866
4,Unheated Basement,"[1, 3) degF",735
4,Unheated Basement,"[3, 5) degF",203
4,Unheated Basement,5+ degF,2553
4,Unvented Crawlspace,<-5 degF,20
4,Unvented Crawlspace,"[-5, -3) degF",47
4,Unvented Crawlspace,"[-3, -1) degF",111
4,Unvented Crawlspace,"[-1, 1) degF",9635
4,Unvented Crawlspace,"[1, 3) degF",73
4,Unvented Crawlspace,"[3, 5) degF",24
4,Unvented Crawlspace,5+ degF,251
4,Vented Crawlspace,<-5 degF,925
4,Vented Crawlspace,"[-5, -3) degF",976
4,Vented Crawlspace,"[-3, -1) degF",2632
4,Vented Crawlspace,"[-1, 1) degF",112782
4,Vented Crawlspace,"[1, 3) degF",851
4,Vented Crawlspace,"[3, 5) degF",282
4,Vented Crawlspace,5+ degF,2621
5,Ambient,<-5 degF,96
5,Ambient,"[-5, -3) degF",209
5,Ambient,"[-3, -1) degF",539
5,Ambient,"[-1, 1) degF",45652
5,Ambient,"[1, 3) degF",352
5,Ambient,"[3, 5) degF",54
5,Ambient,5+ degF,30
5,Heated Basement,<-5 degF,365
5,Heated Basement,"[-5, -3) degF",668
5,Heated Basement,"[-3, -1) degF",1398
5,Heated Basement,"[-1, 1) degF",62396
5,Heated Basement,"[1, 3) degF",428
5,Heated Basement,"[3, 5) degF",74
5,Heated Basement,5+ degF,25
5,Slab,<-5 degF,3421
5,Slab,"[-5, -3) degF",3279
5,Slab,"[-3, -1) degF",5311
5,Slab,"[-1, 1) degF",196389
5,Slab,"[1, 3) degF",1396
5,Slab,"[3, 5) degF",218
5,Slab,5+ degF,117
5,Unheated Basement,<-5 degF,568
5,Unheated Basement,"[-5, -3) degF",809
5,Unheated Basement,"[-3, -1) degF",2022
5,Unheated Basement,"[-1, 1) degF",77810
5,Unheated Basement,"[1, 3) degF",727
5,Unheated Basement,"[3, 5) degF",146
5,Unheated Basement,5+ degF,59
5,Unvented Crawlspace,<-5 degF,26
5,Unvented Crawlspace,"[-5, -3) degF",60
5,Unvented Crawlspace,"[-3, -1) degF",157
5,Unvented Crawlspace,"[-1, 1) degF",9588
5,Unvented Crawlspace,"[1, 3) degF",43
5,Unvented Crawlspace,"[3, 5) degF",14
5,Unvented Crawlspace,5+ degF,2
5,Vented Crawlspace,<-5 degF,954
5,Vented Crawlspace,"[-5, -3) degF",1038
5,Vented Crawlspace,"[-3, -1) degF",2847
5,Vented Crawlspace,"[-1, 1) degF",111996
5,Vented Crawlspace,"[1, 3) degF",681
5,Vented Crawlspace,"[3, 5) degF",124
5,Vented Crawlspace,5+ degF,68
6,Ambient,<-5 degF,148
6,Ambient,"[-5, -3) degF",281
6,Ambient,"[-3, -1) degF",1430
6,Ambient,"[-1, 1) degF",46322
6,Ambient,"[1, 3) degF",35
6,Ambient,"[3, 5) degF",0
6,Ambient,5+ degF,0
6,Heated Basement,<-5 degF,6
6,Heated Basement,"[-5, -3) degF",109
6,Heated Basement,"[-3, -1) degF",1541
6,Heated Basement,"[-1, 1) degF",66216
6,Heated Basement,"[1, 3) degF",139
6,Heated Basement,"[3, 5) degF",1
6,Heated Basement,5+ degF,0
6,Slab,<-5 degF,1023
6,Slab,"[-5, -3) degF",2408
6,Slab,"[-3, -1) degF",8463
6,Slab,"[-1, 1) degF",201803
6,Slab,"[1, 3) degF",328
6,Slab,"[3, 5) degF",11
6,Slab,5+ degF,1
6,Unheated Basement,<-5 degF,131
6,Unheated Basement,"[-5, -3) degF",231
6,Unheated Basement,"[-3, -1) degF",885
6,Unheated Basement,"[-1, 1) degF",82969
6,Unheated Basement,"[1, 3) degF",204
6,Unheated Basement,"[3, 5) degF",6
6,Unheated Basement,5+ degF,0
6,Unvented Crawlspace,<-5 degF,39
6,Unvented Crawlspace,"[-5, -3) degF",79
6,Unvented Crawlspace,"[-3, -1) degF",321
6,Unvented Crawlspace,"[-1, 1) degF",9662
6,Unvented Crawlspace,"[1, 3) degF",16
6,Unvented Crawlspace,"[3, 5) degF",1
6,Unvented Crawlspace,5+ degF,0
6,Vented Crawlspace,<-5 degF,642
6,Vented Crawlspace,"[-5, -3) degF",1120
6,Vented Crawlspace,"[-3, -1) degF",4109
6,Vented Crawlspace,"[-1, 1) degF",114391
6,Vented Crawlspace,"[1, 3) degF",250
6,Vented Crawlspace,"[3, 5) degF",10
6,Vented Crawlspace,5+ degF,0
7,Ambient,<-5 degF,158
7,Ambient,"[-5, -3) degF",266
7,Ambient,"[-3, -1) degF",863
7,Ambient,"[-1, 1) degF",25665
7,Ambient,"[1, 3) degF",321
7,Ambient,"[3, 5) degF",105
7,Ambient,5+ degF,1556
7,Heated Basement,<-5 degF,298
7,Heated Basement,"[-5, -3) degF",528
7,Heated Basement,"[-3, -1) degF",1308
7,Heated Basement,"[-1, 1) degF",53529
7,Heated Basement,"[1, 3) degF",826
7,Heated Basement,"[3, 5) degF",272
7,Heated Basement,5+ degF,2245
7,Slab,<-5 degF,2742
7,Slab,"[-5, -3) degF",3159
7,Slab,"[-3, -1) degF",6438
7,Slab,"[-1, 1) degF",127639
7,Slab,"[1, 3) degF",1669
7,Slab,"[3, 5) degF",576
7,Slab,5+ degF,2437
7,Unheated Basement,<-5 degF,480
7,Unheated Basement,"[-5, -3) degF",664
7,Unheated Basement,"[-3, -1) degF",1606
7,Unheated Basement,"[-1, 1) degF",65027
7,Unheated Basement,"[1, 3) degF",664
7,Unheated Basement,"[3, 5) degF",162
7,Unheated Basement,5+ degF,2515
7,Unvented Crawlspace,<-5 degF,23
7,Unvented Crawlspace,"[-5, -3) degF",45
7,Unvented Crawlspace,"[-3, -1) degF",160
7,Unvented Crawlspace,"[-1, 1) degF",6613
7,Unvented Crawlspace,"[1, 3) degF",47
7,Unvented Crawlspace,"[3, 5) degF",17
7,Unvented Crawlspace,5+ degF,244
7,Vented Crawlspace,<-5 degF,892
7,Vented Crawlspace,"[-5, -3) degF",1191
7,Vented Crawlspace,"[-3, -1) degF",3469
7,Vented Crawlspace,"[-1, 1) degF",80567
7,Vented Crawlspace,"[1, 3) degF",769
7,Vented Crawlspace,"[3, 5) degF",245
7,Vented Crawlspace,5+ degF,2579
8,Ambient,<-5 degF,193
8,Ambient,"[-5, -3) degF",364
8,Ambient,"[-3, -1) degF",1146
8,Ambient,"[-1, 1) degF",44729
8,Ambient,"[1, 3) degF",488
8,Ambient,"[3, 5) degF",143
8,Ambient,5+ degF,1594
8,Heated Basement,<-5 degF,350
8,Heated Basement,"[-5, -3) degF",650
8,Heated Basement,"[-3, -1) degF",1665
8,Heated Basement,"[-1, 1) degF",62254
8,Heated Basement,"[1, 3) degF",834
8,Heated Basement,"[3, 5) degF",291
8,Heated Basement,5+ degF,2278
8,Slab,<-5 degF,4283
8,Slab,"[-5, -3) degF",4559
8,Slab,"[-3, -1) degF",9772
8,Slab,"[-1, 1) degF",191389
8,Slab,"[1, 3) degF",2403
8,Slab,"[3, 5) degF",708
8,Slab,5+ degF,2563
8,Unheated Basement,<-5 degF,325
8,Unheated Basement,"[-5, -3) degF",678
8,Unheated Basement,"[-3, -1) degF",1706
8,Unheated Basement,"[-1, 1) degF",78572
